player_id,name,position,team,opponent,season,week,fantasy_points,predicted_points,prediction_ci80_lower,prediction_ci80_upper,prediction_ci95_lower,prediction_ci95_upper
00-0022942,P.Rivers,QB,IND,SEA,2025,15,6.8,15.023195876288657,5.8645971378160375,24.181794614761277,3.1377468309523184,26.908644921624997
00-0022942,P.Rivers,QB,IND,SF,2025,16,17.1,10.92222222222222,2.022390729627153,19.822053714817287,0.0,22.471859534420815
00-0022942,P.Rivers,QB,IND,JAX,2025,17,7.9,13.392366412213738,4.7188917987103185,22.065841025717155,2.1364807130434293,24.648252111384046
00-0023459,A.Rodgers,QB,PIT,NYJ,2025,1,25.8,15.023195876288657,1.9704797546818895,28.075911997895425,0.0,31.9621836839879
00-0023459,A.Rodgers,QB,PIT,SEA,2025,2,8.4,15.023195876288657,5.583677633047403,24.462714119529913,2.773187300055614,27.2732044525217
00-0023459,A.Rodgers,QB,PIT,NE,2025,3,11.9,15.023195876288657,4.932837015394373,25.11355473718294,1.9285675914471803,28.117824161130134
00-0023459,A.Rodgers,QB,PIT,MIN,2025,4,13.0,16.60241071428571,9.080149882762285,24.124671545809136,6.840497306808361,26.36432412176306
00-0023459,A.Rodgers,QB,PIT,CLE,2025,6,17.5,15.023195876288657,7.396986314922188,22.649405437655126,5.1263843946455445,24.92000735793177
00-0023459,A.Rodgers,QB,PIT,CIN,2025,7,22.6,13.392366412213738,7.0907531665367225,19.693979657890754,5.214532086937755,21.57020073748972
00-0023459,A.Rodgers,QB,PIT,GB,2025,8,16.8,13.94782608695652,7.611151302570422,20.284500871342615,5.724491118658873,22.171161055254167
00-0023459,A.Rodgers,QB,PIT,IND,2025,9,12.2,16.60241071428571,9.273361123489881,23.93146030508154,7.091234610868588,26.11358681770283
00-0023459,A.Rodgers,QB,PIT,LAC,2025,10,6.4,17.819371727748692,8.165237722633169,27.473505732864215,5.290848416355622,30.34789503914176
00-0023459,A.Rodgers,QB,PIT,CIN,2025,11,9.4,16.60241071428571,5.518916726375348,27.685904702196073,2.218954598424773,30.985866830146648
00-0023459,A.Rodgers,QB,PIT,BUF,2025,13,2.7,15.023195876288657,6.438038820927641,23.608352931649673,3.881923107227472,26.164468645349842
00-0023459,A.Rodgers,QB,PIT,BAL,2025,14,21.6,14.54137931034483,6.389707148136434,22.693051472553226,3.9626557648723804,25.12010285581728
00-0023459,A.Rodgers,QB,PIT,MIA,2025,15,17.0,13.94782608695652,4.932881263515897,22.96277091039714,2.2488019889326605,25.64685018498038
00-0023459,A.Rodgers,QB,PIT,DET,2025,16,15.5,15.023195876288657,7.179497770460593,22.86689398211672,4.8441415442972655,25.20225020828005
00-0023459,A.Rodgers,QB,PIT,CLE,2025,17,7.3,15.023195876288657,8.346893660700616,21.6994980918767,6.359113950599761,23.68727780197755
