season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2019,1,117.3,106.0,226.7,117.3,47.8,-109.4,0.0,69.5,False,False,True,0.0,0.0,1.0
2019,2,80.3,95.01,173.2,90.1,31.5,-92.9,-9.8,48.8,False,False,True,0.0,0.0,1.0
2019,3,101.0,115.87,229.6,96.9,30.2,-128.6,4.1,70.8,False,True,True,0.0,0.3333,1.0
2019,4,116.9,111.14,195.1,73.3,47.3,-78.2,43.6,69.6,False,True,True,0.0,0.5,1.0
2019,5,132.4,108.98,254.3,129.0,45.0,-121.9,3.4,87.4,False,True,True,0.0,0.6,1.0
2019,6,103.4,110.01,190.2,101.7,41.3,-86.8,1.7,62.1,False,True,True,0.0,0.6667,1.0
2019,7,109.1,111.5,214.3,55.5,60.9,-105.2,53.6,48.2,False,True,True,0.0,0.7143,1.0
2019,8,125.7,109.69,209.2,84.0,32.2,-83.5,41.7,93.5,False,True,True,0.0,0.75,1.0
2019,9,123.5,102.88,202.5,71.3,46.9,-79.0,52.2,76.6,False,True,True,0.0,0.7778,1.0
2019,10,144.2,108.53,193.0,77.8,47.3,-48.8,66.4,96.9,False,True,True,0.0,0.8,1.0
2019,11,126.9,107.42,174.7,91.0,41.6,-47.8,35.9,85.3,False,True,True,0.0,0.8182,1.0
2019,12,137.9,108.23,208.8,105.7,43.6,-70.9,32.2,94.3,False,True,True,0.0,0.8333,1.0
2019,13,88.3,112.0,183.1,85.6,29.6,-94.8,2.7,58.7,False,True,True,0.0,0.8462,1.0
2019,14,122.2,107.93,200.4,93.8,55.7,-78.2,28.4,66.5,False,True,True,0.0,0.8571,1.0
2019,15,140.5,109.72,210.4,103.9,31.6,-69.9,36.6,108.9,False,True,True,0.0,0.8667,1.0
2019,16,157.1,107.72,205.6,158.2,43.5,-48.5,-1.1,113.6,False,False,True,0.0,0.8125,1.0
2019,17,95.9,114.28,184.2,72.1,62.7,-88.3,23.8,33.2,False,True,True,0.0,0.8235,1.0
2019,18,48.5,113.77,146.5,62.8,38.5,-98.0,-14.3,10.0,False,False,True,0.0,0.7778,1.0
2019,19,88.2,112.92,197.2,68.6,41.4,-109.0,19.6,46.8,False,True,True,0.0,0.7895,1.0
2019,20,64.5,113.05,167.7,104.8,41.4,-103.2,-40.3,23.1,False,False,True,0.0,0.75,1.0
2019,21,41.4,112.09,117.4,85.4,41.4,-76.0,-44.0,0.0,False,False,False,0.0,0.7143,0.9524
