player,position,season,week,actual_ppr,prediction,model,fold,training_window,weighting_strategy,p25,p50,p75,p90
00-0023459,QB,2023,1,0.0,11.2,baseline_recent_game,2023,all,none,,,,
00-0026158,QB,2023,13,16.2,6.0,baseline_recent_game,2023,all,none,,,,
00-0026158,QB,2023,14,20.3,16.2,baseline_recent_game,2023,all,none,,,,
00-0026158,QB,2023,15,16.9,20.3,baseline_recent_game,2023,all,none,,,,
00-0026158,QB,2023,16,24.8,16.9,baseline_recent_game,2023,all,none,,,,
00-0026158,QB,2023,17,22.7,24.8,baseline_recent_game,2023,all,none,,,,
00-0026158,QB,2023,19,13.6,22.7,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,1,14.5,14.8,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,2,14.0,14.5,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,3,11.5,14.0,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,4,16.2,11.5,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,5,16.9,16.2,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,6,13.2,16.9,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,7,14.0,13.2,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,8,11.4,14.0,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,11,9.7,11.4,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,12,23.4,9.7,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,13,23.0,23.4,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,14,23.7,23.0,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,15,18.5,23.7,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,16,20.7,18.5,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,17,12.6,20.7,baseline_recent_game,2023,all,none,,,,
00-0026498,QB,2023,19,22.7,12.6,baseline_recent_game,2023,all,none,,,,
00-0026625,QB,2023,1,0.0,1.5,baseline_recent_game,2023,all,none,,,,
00-0026625,QB,2023,6,3.8,0.0,baseline_recent_game,2023,all,none,,,,
00-0026625,QB,2023,7,1.2,3.8,baseline_recent_game,2023,all,none,,,,
00-0027948,QB,2023,3,-2.9,5.2,baseline_recent_game,2023,all,none,,,,
00-0027948,QB,2023,18,8.8,-2.9,baseline_recent_game,2023,all,none,,,,
00-0027973,QB,2023,2,0.0,11.0,baseline_recent_game,2023,all,none,,,,
00-0027973,QB,2023,3,23.5,0.0,baseline_recent_game,2023,all,none,,,,
00-0027973,QB,2023,5,0.1,23.5,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,1,0.2,0.0,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,3,0.2,0.2,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,4,0.0,0.2,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,5,4.8,0.0,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,6,10.4,4.8,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,7,21.7,10.4,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,8,3.6,21.7,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,15,0.5,3.6,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,16,9.4,0.5,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,17,18.8,9.4,baseline_recent_game,2023,all,none,,,,
00-0028118,QB,2023,18,17.7,18.8,baseline_recent_game,2023,all,none,,,,
00-0028986,QB,2023,15,11.3,0.1,baseline_recent_game,2023,all,none,,,,
00-0028986,QB,2023,16,-1.5,11.3,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,1,15.2,23.1,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,2,25.9,15.2,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,3,14.2,25.9,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,4,22.2,14.2,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,5,18.7,22.2,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,6,6.9,18.7,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,7,13.9,6.9,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,8,17.6,13.9,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,10,18.7,17.6,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,11,14.5,18.7,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,12,16.8,14.5,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,13,15.8,16.8,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,14,15.5,15.8,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,15,17.5,15.5,baseline_recent_game,2023,all,none,,,,
00-0029263,QB,2023,16,23.5,17.5,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,1,16.5,25.8,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,2,28.6,16.5,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,3,25.7,28.6,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,4,9.6,25.7,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,5,19.9,9.6,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,6,8.7,19.9,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,7,21.0,8.7,baseline_recent_game,2023,all,none,,,,
00-0029604,QB,2023,8,19.9,21.0,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,1,2.4,10.7,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,2,21.0,2.4,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,3,4.2,21.0,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,4,12.7,4.2,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,5,9.8,12.7,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,6,1.0,9.8,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,16,9.8,1.0,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,17,6.7,9.8,baseline_recent_game,2023,all,none,,,,
00-0029701,QB,2023,18,12.4,6.7,baseline_recent_game,2023,all,none,,,,
00-0030533,QB,2023,17,-0.3,8.3,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,1,9.1,16.9,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,2,23.1,9.1,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,3,15.4,23.1,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,4,9.2,15.4,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,6,11.0,9.2,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,7,13.8,11.0,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,8,13.9,13.8,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,9,2.7,13.9,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,10,24.1,2.7,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,11,13.2,24.1,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,12,7.3,13.2,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,13,30.0,7.3,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,16,17.3,30.0,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,17,16.9,17.3,baseline_recent_game,2023,all,none,,,,
00-0030565,QB,2023,18,20.4,16.9,baseline_recent_game,2023,all,none,,,,
00-0031237,QB,2023,5,-0.2,9.0,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,1,14.6,6.4,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,2,6.7,14.6,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,3,8.1,6.7,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,4,3.2,8.1,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,5,15.7,3.2,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,6,16.3,15.7,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,7,17.4,16.3,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,8,18.3,17.4,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,9,16.7,18.3,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,10,5.4,16.7,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,12,10.9,5.4,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,13,8.9,10.9,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,14,10.8,8.9,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,15,20.3,10.8,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,16,25.0,20.3,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,17,15.6,25.0,baseline_recent_game,2023,all,none,,,,
00-0031280,QB,2023,18,27.2,15.6,baseline_recent_game,2023,all,none,,,,
00-0031288,QB,2023,14,0.0,0.8,baseline_recent_game,2023,all,none,,,,
00-0031288,QB,2023,18,0.8,0.0,baseline_recent_game,2023,all,none,,,,
00-0031345,QB,2023,1,15.1,2.2,baseline_recent_game,2023,all,none,,,,
00-0031345,QB,2023,2,7.5,15.1,baseline_recent_game,2023,all,none,,,,
00-0031345,QB,2023,3,17.7,7.5,baseline_recent_game,2023,all,none,,,,
00-0031345,QB,2023,5,10.7,17.7,baseline_recent_game,2023,all,none,,,,
00-0031345,QB,2023,6,8.9,10.7,baseline_recent_game,2023,all,none,,,,
00-0031345,QB,2023,8,4.2,8.9,baseline_recent_game,2023,all,none,,,,
00-0031345,QB,2023,18,0.0,4.2,baseline_recent_game,2023,all,none,,,,
00-0031503,QB,2023,3,4.0,14.6,baseline_recent_game,2023,all,none,,,,
00-0031503,QB,2023,4,-2.0,4.0,baseline_recent_game,2023,all,none,,,,
00-0031503,QB,2023,5,-0.4,-2.0,baseline_recent_game,2023,all,none,,,,
00-0031503,QB,2023,10,8.9,-0.4,baseline_recent_game,2023,all,none,,,,
00-0031503,QB,2023,13,1.6,8.9,baseline_recent_game,2023,all,none,,,,
00-0031503,QB,2023,14,-0.2,1.6,baseline_recent_game,2023,all,none,,,,
00-0031503,QB,2023,18,0.0,-0.2,baseline_recent_game,2023,all,none,,,,
00-0031800,QB,2023,8,12.4,10.2,baseline_recent_game,2023,all,none,,,,
00-0031800,QB,2023,9,14.7,12.4,baseline_recent_game,2023,all,none,,,,
00-0031800,QB,2023,10,9.6,14.7,baseline_recent_game,2023,all,none,,,,
00-0031800,QB,2023,16,14.2,9.6,baseline_recent_game,2023,all,none,,,,
00-0031800,QB,2023,17,15.1,14.2,baseline_recent_game,2023,all,none,,,,
00-0032156,QB,2023,13,1.4,10.0,baseline_recent_game,2023,all,none,,,,
00-0032156,QB,2023,15,-1.6,1.4,baseline_recent_game,2023,all,none,,,,
00-0032156,QB,2023,16,10.5,-1.6,baseline_recent_game,2023,all,none,,,,
00-0032156,QB,2023,17,13.7,10.5,baseline_recent_game,2023,all,none,,,,
00-0032156,QB,2023,18,2.9,13.7,baseline_recent_game,2023,all,none,,,,
00-0032268,QB,2023,13,1.2,10.4,baseline_recent_game,2023,all,none,,,,
00-0032268,QB,2023,14,0.0,1.2,baseline_recent_game,2023,all,none,,,,
00-0032268,QB,2023,18,10.5,0.0,baseline_recent_game,2023,all,none,,,,
00-0032436,QB,2023,18,13.9,1.2,baseline_recent_game,2023,all,none,,,,
00-0032950,QB,2023,12,0.0,6.4,baseline_recent_game,2023,all,none,,,,
00-0032950,QB,2023,18,26.1,0.0,baseline_recent_game,2023,all,none,,,,
00-0033077,QB,2023,1,6.3,10.4,baseline_recent_game,2023,all,none,,,,
00-0033077,QB,2023,2,19.6,6.3,baseline_recent_game,2023,all,none,,,,
00-0033077,QB,2023,3,14.4,19.6,baseline_recent_game,2023,all,none,,,,
00-0033077,QB,2023,4,14.3,14.4,baseline_recent_game,2023,all,none,,,,
00-0033077,QB,2023,5,4.3,14.3,baseline_recent_game,2023,all,none,,,,
00-0033077,QB,2023,6,24.9,4.3,baseline_recent_game,2023,all,none,,,,
00-0033077,QB,2023,8,28.1,24.9,baseline_recent_game,2023,all,none,,,,
