player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,donor_pool_size,p25,p50,p75,p90,sim_mean,sim_std,actual_season_total
00-0023459,QB,2023,NYJ,17,17,1,0.8397491349480969,237,162.18085179676353,185.54473588485854,213.81682462157337,240.6001529468201,188.79054084584666,39.21974375191346,0.0
00-0026158,QB,2023,CLE,17,17,5,0.758578431372549,237,151.36323036789466,168.76449086216144,187.60472704374178,206.02543208849988,170.46858917800805,27.56178829409202,98.9
00-0026498,QB,2023,LA,17,17,15,0.8458508403361344,237,253.99038012267513,261.9696045864566,269.71093614273815,277.7765055864172,262.4234647135229,11.730331168980888,239.29999999999998
00-0026625,QB,2023,LV,17,17,3,0.3290441176470588,237,5.086230148938725,15.36875182548917,27.37747638306476,40.10343243180828,17.219630174079015,17.357924318213556,5.0
00-0027948,QB,2023,KC,17,17,2,0.37700534759358284,237,-1.5544838116958477,9.592227288431957,21.97663651006336,36.82448237343436,11.271963349669862,18.896365333836208,5.9
00-0027973,QB,2023,CAR,17,17,3,0.8538602941176472,237,124.09391769098507,145.62816262031987,169.12181682743494,195.1446088558377,148.43811085410434,35.19749470674195,23.6
00-0028118,QB,2023,NYG,17,17,11,0.3915441176470589,237,94.53736149462324,104.56681890266609,116.36578297859468,128.873580867217,106.67953032190597,16.10441043050183,87.30000000000001
00-0028986,QB,2023,HOU,17,17,2,0.4783088235294118,237,13.670292193674262,27.91083464479793,42.51219149237452,58.83485072587147,29.275371066052656,21.92857683697248,9.8
00-0029263,QB,2023,DEN,17,17,15,0.9732620320855616,237,274.2127962827323,280.1970883584795,287.9796043608953,294.98965044725145,281.28014528490604,10.906816800497236,252.9
00-0029604,QB,2023,MIN,17,17,8,0.8058155080213903,237,225.87546045374594,245.092599110445,263.91758887984116,283.00637235232676,246.26287920423593,28.41911830898293,149.9
00-0029701,QB,2023,TEN,17,17,9,0.9040441176470587,237,162.79837472879177,178.34503925699525,196.203140303725,215.04646419495054,180.05676341669675,26.20996658093541,80.0
00-0030533,QB,2023,JAX,17,17,1,0.19178921568627452,237,-1.1538551564731756,5.313980459411058,15.19264384176066,25.71672983233038,7.48042655238644,13.762132397639268,-0.3
00-0030565,QB,2023,SEA,17,17,15,0.4195261437908497,237,223.40000000000003,233.74824047904812,242.22730139052322,250.6900522998154,234.91603645446028,11.545822352907328,223.40000000000003
00-0031237,QB,2023,DET,17,17,1,0.5965073529411764,237,21.87050192730861,38.2071290318743,56.00528404922389,78.08294177384873,40.29352099579289,27.229211469888956,-0.2
00-0031280,QB,2023,NO,17,17,17,0.9669117647058825,237,237.10000000000002,237.10000000000002,237.10000000000002,237.10000000000002,237.09999999999994,8.526512829121202e-14,237.1
00-0031288,QB,2023,CIN,17,17,2,0.19264705882352942,237,-1.022733697147175,5.734286671670944,14.807005470836987,24.83835899537536,7.40598125289162,13.177401064790068,0.8
00-0031345,QB,2023,LV,17,17,7,0.5024509803921569,237,99.15624096346376,114.25187767406422,132.91933688073942,150.16698739306216,116.954074272867,25.088762977766272,62.1
00-0031503,QB,2023,NO,17,17,7,0.6727941176470589,237,38.34873282365182,53.68023687746434,70.11382843360376,86.56132901374285,55.388164746119536,23.398592514222567,11.9
00-0031800,QB,2023,ATL,17,17,5,0.4051470588235294,237,100.11290707814194,116.65875088673248,133.55634220015043,151.24335320931775,118.41058339203991,25.18877690426783,66.0
00-0032156,QB,2023,NYJ,17,17,5,0.3596813725490196,237,38.64614380796193,50.03007762228295,64.82140312729999,79.49866066440758,52.72209531468858,19.569794858687768,26.9
00-0032268,QB,2023,PHI,17,17,3,0.6810661764705882,237,113.06188824926686,136.60245828524785,161.4017626998228,184.7038285533618,138.3445981620725,35.32632492736735,11.7
00-0032436,QB,2023,CLE,17,17,1,0.3373161764705882,237,20.81555533166386,33.55933770336273,45.89702407090607,58.64687958049244,34.67613718386032,19.415120885277556,13.9
00-0032950,QB,2023,LA,17,17,2,0.8114495798319327,237,131.67355156764125,154.7635832461599,179.76573883648314,202.81998444704215,156.69049100258945,35.24129662794767,24.1
