position,season,window,actual_years,n_train_rows,receiving_floor,weighting,model,mae,rmse,medae,r2,spearman,bias,n
TE,2023,3y,3,4849,True,n/a,existing_methodology,2.93224146578692,4.281132246043112,1.9788247093721707,0.4234036787480009,0.6480758667321644,0.01688255473202111,1629
TE,2023,3y,3,4849,True,none,B_gbm_huber,2.8547579096288627,4.556430690216096,1.5406714620649666,0.3468632559838861,0.6470348498177149,-1.1885198888810473,1629
TE,2023,3y,3,4849,True,none,C_gbm_mae,2.766213828372911,4.3565828762980905,1.5235660967856353,0.40290072988350056,0.6424267897676956,-0.9011619494745196,1629
TE,2023,3y,3,4849,True,linear,B_gbm_huber,2.846939287003275,4.524433951537414,1.52489222901161,0.3560041252279832,0.6537255861449343,-1.1767838802251256,1629
TE,2023,3y,3,4849,True,linear,C_gbm_mae,2.767830106047636,4.383968035869028,1.4968846461194507,0.39537049257600365,0.6480206768068728,-0.9863732579975174,1629
TE,2023,3y,3,4849,True,exponential,B_gbm_huber,2.8494091674740956,4.530054368268449,1.550362306166869,0.354403141157434,0.6526142802493753,-1.1754183006461303,1629
TE,2023,3y,3,4849,True,exponential,C_gbm_mae,2.7524753321965907,4.33824942995468,1.5192240549663731,0.4079156024574312,0.6513824576162307,-0.9328824277988307,1629
TE,2023,5y,5,7824,True,n/a,existing_methodology,2.9677142898800866,4.272546018775908,2.00358380590278,0.42571419948358535,0.650371145554193,0.1117865121914799,1629
TE,2023,5y,5,7824,True,none,B_gbm_huber,2.8704384216327625,4.580091057586202,1.5759745691764324,0.3400625037020518,0.6519580909375363,-1.221937201267231,1629
TE,2023,5y,5,7824,True,none,C_gbm_mae,2.7701896513498765,4.38178911808445,1.5480729404125941,0.39597136857684023,0.6481237868645182,-0.9541413598525067,1629
TE,2023,5y,5,7824,True,linear,B_gbm_huber,2.877309359517614,4.5658804939646505,1.548149614767592,0.3441513023989836,0.6478769671522188,-1.2066964577732986,1629
TE,2023,5y,5,7824,True,linear,C_gbm_mae,2.758812250659852,4.380711852924672,1.5401221832116774,0.3962683335814362,0.648061227225687,-0.967750938798203,1629
TE,2023,5y,5,7824,True,exponential,B_gbm_huber,2.8697116837221746,4.54668858238487,1.5395041750129101,0.34965321449734565,0.6493222845330708,-1.190025376457952,1629
TE,2023,5y,5,7824,True,exponential,C_gbm_mae,2.7594535845635795,4.368115286017713,1.525295242225067,0.39973535570973195,0.6519969484145146,-0.9858227047071917,1629
TE,2023,7y,7,10785,True,n/a,existing_methodology,2.9755984119662173,4.271432264631614,2.0025880367849584,0.42601356656884315,0.6507244767477274,0.1366345037254624,1629
TE,2023,7y,7,10785,True,none,B_gbm_huber,2.8541261326412184,4.546570057834276,1.4988995011628625,0.3496871209566883,0.6550384976634375,-1.1980010979818534,1629
TE,2023,7y,7,10785,True,none,C_gbm_mae,2.7493153102358083,4.348210503323856,1.550700307431008,0.4051935058156141,0.6591710405241691,-0.937026584048682,1629
TE,2023,7y,7,10785,True,linear,B_gbm_huber,2.8551814866658316,4.543230162963149,1.5385933994214465,0.3506422052766941,0.6540688933361613,-1.1917441953223544,1629
TE,2023,7y,7,10785,True,linear,C_gbm_mae,2.7550382395959643,4.346862855537781,1.551907473190941,0.40556214732247786,0.6578597679801216,-0.9346150923507665,1629
TE,2023,7y,7,10785,True,exponential,B_gbm_huber,2.8582088430367936,4.5310355918369165,1.5721548751657717,0.35412343437759797,0.652234330444379,-1.163750200815629,1629
TE,2023,7y,7,10785,True,exponential,C_gbm_mae,2.757669304541383,4.397764807959705,1.5344003721752095,0.39155884893059134,0.6514056504336772,-1.046405451696425,1629
TE,2023,10y,10,15122,True,n/a,existing_methodology,2.9838762821720186,4.274379934866449,2.0065842233225117,0.4252210892876144,0.6484049907400339,0.14440953443503188,1629
TE,2023,10y,10,15122,True,none,B_gbm_huber,2.8581311592690892,4.563671157064275,1.503775898367393,0.3447858525857378,0.6560623711005398,-1.1945638053151548,1629
TE,2023,10y,10,15122,True,none,C_gbm_mae,2.71911283413223,4.317974187494186,1.535941787651912,0.41343700109233494,0.6607079204754632,-0.9482460197544615,1629
TE,2023,10y,10,15122,True,linear,B_gbm_huber,2.8455886182069974,4.545253614937992,1.5041291416672777,0.35006365791478933,0.659243861058149,-1.2015837395238287,1629
TE,2023,10y,10,15122,True,linear,C_gbm_mae,2.726833840603546,4.334211015813105,1.5115015139800874,0.40901741512665024,0.6617601668578912,-0.9573589740196793,1629
TE,2023,10y,10,15122,True,exponential,B_gbm_huber,2.8759566262452894,4.576204272329228,1.5726247621141392,0.341182108932956,0.6528436007567495,-1.2200203153261253,1629
TE,2023,10y,10,15122,True,exponential,C_gbm_mae,2.767491768693038,4.372420363996619,1.5573241321282074,0.3985515684793557,0.6473032793093827,-0.9632705010061627,1629
TE,2023,since2013,10,15122,True,n/a,existing_methodology,2.9838762821720186,4.274379934866449,2.0065842233225117,0.4252210892876144,0.6484049907400339,0.14440953443503188,1629
TE,2023,since2013,10,15122,True,none,B_gbm_huber,2.8581311592690892,4.563671157064275,1.503775898367393,0.3447858525857378,0.6560623711005398,-1.1945638053151548,1629
TE,2023,since2013,10,15122,True,none,C_gbm_mae,2.71911283413223,4.317974187494186,1.535941787651912,0.41343700109233494,0.6607079204754632,-0.9482460197544615,1629
TE,2023,since2013,10,15122,True,linear,B_gbm_huber,2.8455886182069974,4.545253614937992,1.5041291416672777,0.35006365791478933,0.659243861058149,-1.2015837395238287,1629
TE,2023,since2013,10,15122,True,linear,C_gbm_mae,2.726833840603546,4.334211015813105,1.5115015139800874,0.40901741512665024,0.6617601668578912,-0.9573589740196793,1629
TE,2023,since2013,10,15122,True,exponential,B_gbm_huber,2.8759566262452894,4.576204272329228,1.5726247621141392,0.341182108932956,0.6528436007567495,-1.2200203153261253,1629
TE,2023,since2013,10,15122,True,exponential,C_gbm_mae,2.767491768693038,4.372420363996619,1.5573241321282074,0.3985515684793557,0.6473032793093827,-0.9632705010061627,1629
TE,2023,all,17,19136,True,n/a,existing_methodology,2.987588934757155,4.278500931400545,2.0203338628333407,0.42411224834833583,0.6466355413530709,0.14621680127135447,1629
