position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
QB,2023,3y,3,2020,n/a,existing_methodology,6.1378039707385055,7.551676020746597,5.4250600774016515,0.2564611227122049,0.49480698132984813,0.295323770994773,701
QB,2023,3y,3,2020,none,B_gbm_huber,6.341883931599193,7.713208492665418,5.903881471688603,0.2243119098681461,0.48937847403671536,0.2531004098236276,701
QB,2023,3y,3,2020,none,C_gbm_mae,6.007175343796891,7.4386298284907495,5.18305670522321,0.2785555838645879,0.5078105323013813,-0.7244386498037243,701
QB,2023,3y,3,2020,linear,B_gbm_huber,6.318277410185472,7.687272849067759,5.846106192509799,0.22951963802872344,0.48509406653100706,0.2292816813097463,701
QB,2023,3y,3,2020,linear,C_gbm_mae,6.121592020184329,7.60657051083437,5.318489479829099,0.2456119979569399,0.49983579313045085,-1.4241830037660275,701
QB,2023,3y,3,2020,exponential,B_gbm_huber,6.311087944757684,7.674936963966025,5.9745052131302305,0.23199045735574042,0.49115844614034326,0.2688451624952821,701
QB,2023,3y,3,2020,exponential,C_gbm_mae,6.083389487283493,7.5731057791558705,5.333675783009505,0.2522351822436113,0.5071995320728324,-1.362753866530349,701
QB,2023,5y,5,3277,n/a,existing_methodology,6.157818422446067,7.5567853427207385,5.568070028001018,0.2554546535064379,0.49296502338717435,0.42390643535623324,701
QB,2023,5y,5,3277,none,B_gbm_huber,6.268714962975136,7.641627203438025,5.745181212583725,0.23864242069410702,0.5237918509185221,0.6876753938917847,701
QB,2023,5y,5,3277,none,C_gbm_mae,5.943377153213125,7.391418594205843,5.203346125111317,0.2876841991710051,0.5279004351066443,-0.3452570129316229,701
QB,2023,5y,5,3277,linear,B_gbm_huber,6.279668154467654,7.669006362023137,5.7835687680608725,0.23317691637766624,0.5073939086806644,0.4595079322409889,701
QB,2023,5y,5,3277,linear,C_gbm_mae,5.997114400559473,7.4730042155445116,5.077440186234741,0.27187249583824113,0.5129245021429134,-0.7403955229105246,701
QB,2023,5y,5,3277,exponential,B_gbm_huber,6.287347379043589,7.678924510472643,5.957847788874865,0.23119220472020452,0.5036224958988983,0.3279221430734097,701
QB,2023,5y,5,3277,exponential,C_gbm_mae,6.025384904572589,7.492735562552327,5.2616969628353205,0.2680223967599429,0.5098686300835995,-0.7477476043625519,701
QB,2023,7y,7,4494,n/a,existing_methodology,6.176963932218729,7.568637017194494,5.584524139502808,0.2531174086815332,0.4953292005045382,0.6868032574453679,701
QB,2023,7y,7,4494,none,B_gbm_huber,6.245374210898474,7.627298781351641,5.652579535446776,0.24149490877366886,0.5244490563748094,0.43061134589613637,701
QB,2023,7y,7,4494,none,C_gbm_mae,5.927443260018373,7.363573237256599,5.184887511337006,0.2930410400321648,0.5240080825189193,0.08006266229346093,701
QB,2023,7y,7,4494,linear,B_gbm_huber,6.232405108451262,7.646241746371461,5.735917994022236,0.23772262234859964,0.5139218008083909,0.24569876278318328,701
QB,2023,7y,7,4494,linear,C_gbm_mae,5.985072373344436,7.44468723647999,5.419384976100474,0.27738013553903684,0.5087701952693926,-0.3763728000376945,701
QB,2023,7y,7,4494,exponential,B_gbm_huber,6.228939007285874,7.606948723073578,5.7195590633306415,0.24553697706063538,0.5176312804671377,0.24724557097378427,701
QB,2023,7y,7,4494,exponential,C_gbm_mae,5.935834457123159,7.383444189428738,4.977579471840917,0.2892203671726672,0.5229852258446198,-0.5826718378064624,701
QB,2024,3y,3,2060,n/a,existing_methodology,6.3195216862932915,7.859804704034631,5.556573765060756,0.2776016079855108,0.5195516080440392,0.8739045486765897,702
QB,2024,3y,3,2060,none,B_gbm_huber,6.529143512285867,8.073379294718205,5.782967919692606,0.23780872410039655,0.5359511260239894,0.005941874783788315,702
QB,2024,3y,3,2060,none,C_gbm_mae,6.301671171506368,7.813135914437761,5.155584424338649,0.2861548406486222,0.5270108415330964,0.33759487764700974,702
QB,2024,3y,3,2060,linear,B_gbm_huber,6.614903973261608,8.147713063561543,5.923031690104918,0.223708711189603,0.5064734912535819,0.15582963894217072,702
QB,2024,3y,3,2060,linear,C_gbm_mae,6.310713945143861,7.863201213734716,5.217626767228511,0.2769771234364351,0.5198681192384629,0.6246610463054889,702
QB,2024,3y,3,2060,exponential,B_gbm_huber,6.660269012695688,8.200596212244413,5.977318982547047,0.2135988914791822,0.5015940812333122,0.2782120041190814,702
QB,2024,3y,3,2060,exponential,C_gbm_mae,6.393202427735857,7.931494589281544,5.490212394409216,0.2643634057763262,0.5113438756176949,0.6215050055345057,702
QB,2024,5y,5,3344,n/a,existing_methodology,6.264790946960102,7.828852223672788,5.4801903049321545,0.28328011914175233,0.5248782543533079,0.5383692430169862,702
QB,2024,5y,5,3344,none,B_gbm_huber,6.578637533159782,8.10658514820336,5.894860333722307,0.23152603642447278,0.5236632715146793,0.2062304000860673,702
QB,2024,5y,5,3344,none,C_gbm_mae,6.266900904094849,7.812476939391974,5.237079940754169,0.28627524974280294,0.5310550876448474,0.7607099481427502,702
QB,2024,5y,5,3344,linear,B_gbm_huber,6.601015345578789,8.13271477008669,6.012690970427189,0.2265640715182099,0.5091010023267877,0.36031464704512894,702
QB,2024,5y,5,3344,linear,C_gbm_mae,6.364882857810288,7.906005008690385,5.320563274266668,0.2690840640906562,0.5133117812373401,1.1761818094363372,702
QB,2024,5y,5,3344,exponential,B_gbm_huber,6.579079096512292,8.104453308277833,6.045245214889711,0.23193016418852663,0.5013435380717083,0.6008966951175451,702
QB,2024,5y,5,3344,exponential,C_gbm_mae,6.2762742665662925,7.812427660150224,5.143179590982804,0.28628425372549793,0.5211759110951749,0.6794043521060258,702
QB,2024,7y,7,4584,n/a,existing_methodology,6.287334512580962,7.8400793518791225,5.508579803850654,0.2812229910894336,0.5251797976502696,0.6617483669842513,702
QB,2024,7y,7,4584,none,B_gbm_huber,6.5759154106125415,8.106165442540263,5.957343860808663,0.2316056074199645,0.5250353110507885,0.19433170652061751,702
QB,2024,7y,7,4584,none,C_gbm_mae,6.341925121617133,7.859805440955359,5.301586153038455,0.27760147252403466,0.5189158626425595,0.9236901005043663,702
QB,2024,7y,7,4584,linear,B_gbm_huber,6.619090181000909,8.137123803247377,5.963495014070137,0.22572523009265355,0.5173969000987109,0.2848100669113796,702
QB,2024,7y,7,4584,linear,C_gbm_mae,6.443518532143147,7.965700150473598,5.521571883047509,0.2580046744555259,0.5095916776929947,1.185773147404262,702
QB,2024,7y,7,4584,exponential,B_gbm_huber,6.563517668568787,8.0641038864667,5.920013578683955,0.23955906280798678,0.5294777308011065,0.4446326254309009,702
QB,2024,7y,7,4584,exponential,C_gbm_mae,6.408774309671043,7.928215880259853,5.30386292943162,0.26497147271486954,0.5073857252684031,1.059618164166904,702
QB,2025,3y,3,2076,n/a,existing_methodology,6.599288444745405,8.188727425876502,5.532933907471794,0.187484898327543,0.4887186299765539,-1.911645170680731,677
QB,2025,3y,3,2076,none,B_gbm_huber,7.437530990708833,9.092686765334674,7.137732257924657,-0.0018047161144612023,0.2672471329821786,-2.4458532805032025,677
QB,2025,3y,3,2076,none,C_gbm_mae,6.939541645780368,8.65760077575077,5.868612342068728,0.09177443527393236,0.4096598358553989,-2.6669492139310473,677
QB,2025,3y,3,2076,linear,B_gbm_huber,7.131930638022766,8.680826447301383,6.6450771463443346,0.0868949210174067,0.3300203710784812,-1.6489080724026188,677
QB,2025,3y,3,2076,linear,C_gbm_mae,6.899046208948031,8.545416135155467,5.9355301082562235,0.11515939511574125,0.43312069775510564,-2.616278883482511,677
QB,2025,3y,3,2076,exponential,B_gbm_huber,7.104344137323267,8.662964993670391,6.546121089380478,0.09064862010007657,0.3243687443130295,-1.6392622025591939,677
QB,2025,3y,3,2076,exponential,C_gbm_mae,6.881849399101885,8.53944838225744,5.745684089108691,0.11639483319376565,0.4247999478549336,-2.379232116914609,677
QB,2025,5y,5,3423,n/a,existing_methodology,6.6792240142779695,8.341967843001843,5.665153200809989,0.15679022209605453,0.48096898833362794,-2.418140670800518,677
QB,2025,5y,5,3423,none,B_gbm_huber,7.176302231179856,8.744302392664382,6.552495563153743,0.0734924836354548,0.36619149502614445,-1.942088026516748,677
QB,2025,5y,5,3423,none,C_gbm_mae,6.790497061758739,8.58983252315472,5.790768693501259,0.10593724344370237,0.41652622630451525,-2.6775356530155694,677
QB,2025,5y,5,3423,linear,B_gbm_huber,7.185035300189085,8.77906360488339,6.5891478275880155,0.06611155415157643,0.36472664742866556,-1.902719584298817,677
QB,2025,5y,5,3423,linear,C_gbm_mae,6.898718008624002,8.688356040560631,5.646641008483806,0.0853102120845165,0.4212264507423667,-3.0182699700633875,677
QB,2025,5y,5,3423,exponential,B_gbm_huber,7.262591345776569,8.913863533616091,6.541081748251181,0.0372122115975444,0.3464055095548396,-2.2657427919869892,677
QB,2025,5y,5,3423,exponential,C_gbm_mae,6.962800209817781,8.81822635410281,5.506185079342766,0.057760956230450744,0.39995882709473707,-3.184362509120184,677
QB,2025,7y,7,4680,n/a,existing_methodology,6.578398061756868,8.179354452282459,5.513259981815187,0.18934387437329891,0.48012800851011506,-1.8533474029994446,677
QB,2025,7y,7,4680,none,B_gbm_huber,6.749521932228977,8.119039018213165,6.1465799217365955,0.20125552281044434,0.464624191694721,-0.21717122209070217,677
QB,2025,7y,7,4680,none,C_gbm_mae,6.420997604074068,8.00164898258061,5.465735632745486,0.22418601720328357,0.4677972989635406,-1.061723380664448,677
QB,2025,7y,7,4680,linear,B_gbm_huber,6.825055506814632,8.192068240497955,6.308660923503826,0.18682178770972013,0.444975215235523,-0.3477812929026511,677
QB,2025,7y,7,4680,linear,C_gbm_mae,6.598840718400687,8.2379524787832,5.456713713167824,0.17768696235145287,0.4443105637365434,-1.6770443341074521,677
QB,2025,7y,7,4680,exponential,B_gbm_huber,6.83663963870003,8.291554875364307,6.3289047993821494,0.16695095676353122,0.44549114671837,-1.018780292937319,677
