position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
QB,2023,3y,3,2059,,existing_methodology,6.001025501947266,7.401358083738348,5.266916719564286,0.3058650761522473,0.5386224639296129,0.2381644990169686,718
QB,2023,3y,3,2059,none,B_gbm_huber,6.186152435550735,7.55797423139827,5.558180426310836,0.2761778370538778,0.5708374745421194,0.3260392501183534,718
QB,2023,3y,3,2059,none,F_yeojohnson_huber,5.892518863965545,7.4002620994207,4.929676313634648,0.3060706342825174,0.5439197029053283,-0.7060125933938844,718
QB,2023,3y,3,2059,linear,B_gbm_huber,6.207341667859349,7.58985241304208,5.670614954756742,0.2700590557605409,0.5493029693943247,0.254731936913717,718
QB,2023,3y,3,2059,linear,F_yeojohnson_huber,6.029673239900739,7.595300470137932,4.904940448859019,0.2690107647004636,0.5314298654365202,-1.403523305441063,718
QB,2023,3y,3,2059,exponential,B_gbm_huber,6.264672143890325,7.64837702579204,5.701898527563472,0.2587586478598642,0.5437000959092504,0.3727134005474803,718
QB,2023,3y,3,2059,exponential,F_yeojohnson_huber,6.062198713126246,7.604433795871747,4.875279868635015,0.2672516830227464,0.5326381086249815,-1.4728518331832534,718
QB,2023,5y,5,3337,,existing_methodology,6.065999356574656,7.442598569630016,5.420885697793153,0.2981080632472203,0.5301617507242053,0.3970234605511618,718
QB,2023,5y,5,3337,none,B_gbm_huber,6.323470183034233,7.671674704342173,5.638732628763702,0.2542359878228564,0.5449267600696556,0.7768670659816568,718
QB,2023,5y,5,3337,none,F_yeojohnson_huber,5.8754984121318525,7.4127478157872435,4.889560794854097,0.303727064759606,0.5475713583291933,-0.5163871731917025,718
QB,2023,5y,5,3337,linear,B_gbm_huber,6.266285010125421,7.634441117194957,5.7922478130257655,0.2614573801011925,0.5411623899040043,0.3224514000869518,718
QB,2023,5y,5,3337,linear,F_yeojohnson_huber,5.90004843038257,7.40443498365788,5.076337736712141,0.3052878232718383,0.5455010986141856,-0.5796306020687776,718
QB,2023,5y,5,3337,exponential,B_gbm_huber,6.260059739433238,7.643440173827621,5.821264066195449,0.2597152476153618,0.5405062346487952,0.2678614250728568,718
QB,2023,5y,5,3337,exponential,F_yeojohnson_huber,5.915841578285392,7.390488213201889,5.031702083073806,0.3079024363617738,0.5474106299204994,-0.5056085022320513,718
QB,2023,7y,7,4554,,existing_methodology,6.125562801023267,7.490227086147567,5.539238202887441,0.289095877952353,0.5272460090901921,0.6741751504982484,718
QB,2023,7y,7,4554,none,B_gbm_huber,6.336230612120959,7.713098866843286,5.734600958890296,0.2461605531426303,0.5281745363033253,0.4477546243762584,718
QB,2023,7y,7,4554,none,F_yeojohnson_huber,5.857690991346284,7.362347746610923,4.770460506630018,0.3131629466045013,0.5524209145587918,-0.8860849205059858,718
QB,2023,7y,7,4554,linear,B_gbm_huber,6.289051437795903,7.668960935162925,5.852867173639821,0.2547635058721359,0.533337272062134,0.2864505677715411,718
