position,season,n_estimators,max_depth,learning_rate,num_leaves,colsample_bytree,min_child_samples,reg_alpha,reg_lambda,alpha
QB,2023,500,5,0.0116570455151421,15,0.4644063138136082,38,1.1821803616950277e-07,0.0042800208247266,0.615511262722069
QB,2024,400,6,0.0142607830730126,82,0.4442919396577021,27,2.909520181952866,1.545543697091491,0.8879386330056809
QB,2025,600,4,0.0104536010404704,70,0.4016007767663687,9,4.506749628084931e-06,0.0002773234067013,0.8655737142743076
RB,2023,600,4,0.0118420665550467,33,0.5732070205095975,42,0.0005708258584124,9.867961049136795,
RB,2024,400,5,0.0177055270583864,65,0.8038711629621592,36,2.790958279594546e-06,0.008328642603042,
RB,2025,500,4,0.0153625964992502,95,0.4367397840935157,44,3.894255101446806e-05,0.0509833823427373,
WR,2023,500,3,0.0083964396965017,63,0.9740951881507908,7,0.0072243745534469,0.0005376217418934,
WR,2024,600,4,0.0071600689379103,63,0.6687222069173733,37,0.0003064711530994,4.7866158822073e-07,
WR,2025,300,3,0.0324468955319969,31,0.6722517173752565,18,0.0001424951331832,7.910491318246047e-06,
TE,2023,800,3,0.0463191366699762,103,0.9352716328560614,17,6.783138100805596e-07,1.0766883547471707e-08,0.5002684691557749
TE,2024,700,3,0.1071113103671111,55,0.4164238136528436,18,4.4906805209622656,0.0131997713990377,0.5279009777812004
TE,2025,700,5,0.0644044540633761,15,0.4410083497679686,22,1.0646166509515283e-07,0.2180439231396563,0.5416018610793721
