position,season,model,n_features_requested,n_features_actual,n_features_available,mae,rmse,medae,r2,spearman,bias,n
QB,2023,C_gbm_mae,10,10,57,5.981504836829266,7.457301897795702,5.14049845377402,0.2749291721780658,0.5102155554333879,0.4636885951885871,701
QB,2023,C_gbm_mae,20,20,57,5.9713479957453055,7.425429165983551,5.1387620756447525,0.2811138759664551,0.5171455560623263,-0.1604444808535129,701
QB,2023,C_gbm_mae,30,30,57,5.994833600102626,7.424298691902591,5.156907653176111,0.2813327509296092,0.5097327322620835,0.15420757396158885,701
QB,2023,C_gbm_mae,all,57,57,5.962955330090747,7.387672369156394,5.188244523251528,0.28840606846296957,0.5161045146500541,-0.0002868634897812819,701
QB,2024,C_gbm_mae,10,10,57,6.307815840833357,7.891704749392969,5.395610706938571,0.27172581157979236,0.5158590641625761,0.25636775200746037,702
QB,2024,C_gbm_mae,20,20,57,6.195323049436663,7.792521316342246,5.308205462043796,0.28991676619736306,0.5297800413158397,0.007515951389767282,702
QB,2024,C_gbm_mae,30,30,57,6.118481251345454,7.74218858907149,5.147868189602563,0.29906014834215777,0.5361239496435939,-0.059488277411776716,702
QB,2024,C_gbm_mae,all,57,57,6.110892732329166,7.674507881143351,5.1387127772897925,0.3112615430101685,0.5454811923133939,0.275810958308197,702
QB,2025,C_gbm_mae,10,10,57,6.243219600087331,7.904500258033409,5.33344307905816,0.24291010924707124,0.48591910889149,0.10513037604280806,677
QB,2025,C_gbm_mae,20,20,57,6.3852365296332225,7.975860221698555,5.474233904971996,0.2291787481499492,0.4870983370266351,-1.189490384643319,677
QB,2025,C_gbm_mae,30,30,57,6.3394678032376035,7.9234975718184115,5.53158957176082,0.2392666258950158,0.4801418346902441,-0.7913449547438035,677
QB,2025,C_gbm_mae,all,57,57,6.357551945588264,7.96861437285172,5.552773115251769,0.23057865163345737,0.48382431690939454,-1.1640138304941747,677
RB,2023,F_yeojohnson_huber,10,10,64,4.4530953125923824,6.3260356703635665,3.0162747817144293,0.3391523025807992,0.6445247423541498,-1.04450566165519,1401
RB,2023,F_yeojohnson_huber,20,20,64,4.440722153451583,6.294625712855998,2.989102273687692,0.345698476986564,0.6481078159721171,-1.040156027973018,1401
RB,2023,F_yeojohnson_huber,30,30,64,4.429023369355521,6.289159821550102,3.047484353521529,0.3468342993291851,0.6490358876913113,-1.0892967317443636,1401
RB,2023,F_yeojohnson_huber,all,64,64,4.411866672681427,6.251084595813047,2.9997289762849166,0.3547190251563713,0.6520833603902034,-1.0131400744818206,1401
RB,2024,F_yeojohnson_huber,10,10,64,4.6562478431495045,6.536350105919071,3.1791335489258787,0.3406879957787119,0.6342367572023976,-1.3640509032954418,1393
RB,2024,F_yeojohnson_huber,20,20,64,4.594072986281533,6.43268023008832,3.134516447469089,0.3614361971861979,0.6420070711780946,-1.2659057316459947,1393
RB,2024,F_yeojohnson_huber,30,30,64,4.611787871831645,6.447188624705803,3.1377032410161867,0.3585524899237019,0.6407507017926647,-1.186923471814107,1393
RB,2024,F_yeojohnson_huber,all,64,64,4.59783391178461,6.405030261339204,3.1845436383647847,0.3669139520474477,0.6434458659576718,-1.1685191272304736,1393
RB,2025,F_yeojohnson_huber,10,10,64,4.623902285213125,6.747371565662525,2.9451937243085773,0.3257255701951044,0.6387768587358782,-1.495379404420176,1447
RB,2025,F_yeojohnson_huber,20,20,64,4.611071367121179,6.726199665053231,2.9509568144082525,0.3299504076666874,0.644591481027927,-1.480495431506685,1447
RB,2025,F_yeojohnson_huber,30,30,64,4.588607678659323,6.657560811996856,3.0256540636589677,0.343555942255266,0.6486677251869107,-1.3905621752751136,1447
RB,2025,F_yeojohnson_huber,all,64,64,4.6201378722799555,6.728032637753822,2.9752880162664166,0.3295851642842599,0.6472806271690528,-1.5187082967738113,1447
WR,2023,C_gbm_mae,10,10,67,4.632874252446274,6.652737836655257,3.1041428459609044,0.2739634175815948,0.566830702662133,-1.53925250108716,2308
WR,2023,C_gbm_mae,20,20,67,4.6236099260343195,6.613304156673778,3.1034139760379267,0.28254497988680216,0.5729054295847783,-1.492083324091556,2308
WR,2023,C_gbm_mae,30,30,67,4.6131893112035725,6.580935927597425,3.2036613803763494,0.2895508326513673,0.5755439137199037,-1.401101136378551,2308
WR,2023,C_gbm_mae,all,67,67,4.613250009250179,6.527003346027328,3.239867186844373,0.30114777008996907,0.57948116474225,-1.2159056550473908,2308
WR,2024,C_gbm_mae,10,10,67,4.736045123021642,6.786719372011517,3.1677825071434604,0.24797200633009708,0.5731824783125725,-1.595483221561548,2210
WR,2024,C_gbm_mae,20,20,67,4.734292835911145,6.724526170819178,3.1962692160041604,0.26169195611019747,0.577336481473962,-1.4848397971125422,2210
WR,2024,C_gbm_mae,30,30,67,4.726224815602548,6.720440727023248,3.2035213424383038,0.2625887924578705,0.5772709206770773,-1.486823102797476,2210
WR,2024,C_gbm_mae,all,67,67,4.722105714199284,6.704391047866343,3.1796468885521323,0.2661067405829628,0.5806373221480446,-1.5105640317173652,2210
WR,2025,C_gbm_mae,10,10,67,4.573461006702588,6.383676930318928,3.1395116306146815,0.24837075312860124,0.5318648036255706,-1.0566901579612582,2211
WR,2025,C_gbm_mae,20,20,67,4.571638529921159,6.405099074420724,3.1758285410269895,0.24331770088725113,0.532894383597286,-1.206356350121616,2211
WR,2025,C_gbm_mae,30,30,67,4.559027613187183,6.390019131370705,3.177425950596475,0.24687651967723911,0.5376783247200216,-1.150324444046763,2211
WR,2025,C_gbm_mae,all,67,67,4.547023231069632,6.392234998743373,3.0827726861240645,0.24635410775263045,0.5420275101989566,-1.2899495987184628,2211
TE,2023,C_gbm_mae,10,10,65,3.5224007186639588,5.031990065160717,2.3938964534177467,0.2705939275003738,0.5295099506561846,-1.008766748421167,1102
