position,season,model,n_features_requested,n_features_actual,n_features_available,mae,rmse,medae,r2,spearman,bias,n
QB,2023,F_yeojohnson_huber,10,10,57,5.911896402926387,7.448214369011288,4.902219706981627,0.2970484410298858,0.5460914573824978,-0.15424900773089031,718
QB,2023,F_yeojohnson_huber,20,20,57,5.94809555845207,7.475329866737689,4.910283385152814,0.2919208825649836,0.5460115227598785,-1.0415836877467404,718
QB,2023,F_yeojohnson_huber,30,30,57,5.928241713322391,7.449015900793748,4.882505524103415,0.29689713809873375,0.545168829305764,-1.078356255105597,718
QB,2023,F_yeojohnson_huber,all,57,57,5.840332317200244,7.351480311942363,4.855074651474606,0.31518910679301515,0.5568133471981976,-0.9535872730526662,718
QB,2024,F_yeojohnson_huber,10,10,57,6.352315815329255,8.0050215072155,5.3689904100337245,0.2715606443299684,0.5109956811131015,0.2971353942956917,720
QB,2024,F_yeojohnson_huber,20,20,57,6.1652367947585365,7.799570662225238,5.172683161251963,0.3084719680928273,0.544070613800014,-0.061893508312985034,720
QB,2024,F_yeojohnson_huber,30,30,57,6.114615773631585,7.742996440052346,5.127668081128803,0.31846758810930764,0.5424456794549882,0.11964457865518471,720
QB,2024,F_yeojohnson_huber,all,57,57,6.084246021920107,7.677831424019433,5.076641268077886,0.3298908620363491,0.5561220842632795,0.02175562239805144,720
QB,2025,F_yeojohnson_huber,10,10,57,6.5738961951062596,8.309497585652123,5.705402047766091,0.20818522987272048,0.4699052527770423,-0.9914040893390106,708
QB,2025,F_yeojohnson_huber,20,20,57,6.3921808555676085,8.055151756123948,5.420625689353792,0.2559167638076949,0.4905894143801312,-0.6201200706984091,708
QB,2025,F_yeojohnson_huber,30,30,57,6.45431654742592,8.108254767398126,5.201881672510088,0.24607379493711534,0.4950018224611565,-0.5811286244629549,708
QB,2025,F_yeojohnson_huber,all,57,57,6.416649950014786,8.26707343657915,4.936506872469467,0.2162498126783592,0.49760082806799316,-1.5497903514794202,708
RB,2023,C_gbm_mae,10,10,64,4.261050572226855,6.064289347054145,2.972634105331739,0.3984059573958031,0.6972715472858801,-0.4631640518957669,1515
RB,2023,C_gbm_mae,20,20,64,4.210803135147314,6.051066370423119,2.837991136621993,0.4010266078485857,0.7007155958609307,-0.6959937047234817,1515
RB,2023,C_gbm_mae,30,30,64,4.1857727280451975,6.055170046744114,2.7698299252694607,0.4002139159198267,0.7008549910865828,-0.8535250342133459,1515
RB,2023,C_gbm_mae,all,64,64,4.202038226394641,6.051059227722923,2.7825546844324025,0.40102802190838227,0.7005219817972447,-0.7746382324207747,1515
RB,2024,C_gbm_mae,10,10,64,4.489412718040224,6.262535831833891,3.3065054770236957,0.40019306980546865,0.685123915818389,-0.6060645969143958,1500
RB,2024,C_gbm_mae,20,20,64,4.402736765450559,6.265547381659239,3.015052072522741,0.39961605665107747,0.6883507288890517,-0.9261604853807738,1500
RB,2024,C_gbm_mae,30,30,64,4.379678301168416,6.275742259562061,2.948408253049557,0.3976606582366038,0.6897028996793189,-1.0935110094649307,1500
RB,2024,C_gbm_mae,all,64,64,4.366171187106253,6.246267011309795,2.955900276510209,0.403305379799876,0.6916782175553345,-1.070668285281539,1500
RB,2025,C_gbm_mae,10,10,64,5.671962085115401,8.659619542043483,3.399838757738598,-0.1072829953126131,0.31472439912794,-3.3098808672384132,1552
