player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0019596,QB,2022,TB,17,17,17,0.9375,0,0,0,17,271.0310914593904,267.5
00-0023459,QB,2022,GB,17,17,17,0.8297334558823529,0,0,0,17,234.23542994800138,235.3
00-0026143,QB,2022,IND,17,17,12,0.9866071428571429,0,0,0,17,225.00576798284158,155.3
00-0026158,QB,2022,NYJ,17,17,5,0.7917542016806722,0,0,0,17,158.71473992805656,48.699999999999996
00-0026197,QB,2022,KC,17,17,3,0.3832720588235294,0,0,0,17,3.6649267643291386,-0.5
00-0026300,QB,2022,SF,17,17,2,0.2914915966386555,0,0,0,17,36.750728268338584,0.7
00-0026498,QB,2022,LA,17,17,9,0.8701923076923077,0,0,0,17,301.905668283096,108.5
00-0026544,QB,2022,LAC,17,17,4,0.16053921568627452,0,0,0,17,-0.2083110680843495,6.5
00-0026625,QB,2022,NE,17,17,1,0.3546380090497738,0,0,0,17,7.5239303183688655,1.5
00-0027688,QB,2022,ARI,17,17,4,0.2797459893048128,0,0,0,17,35.7992279970769,32.699999999999996
00-0027948,QB,2022,TB,17,17,1,0.4088235294117647,0,0,0,17,3.546835957120352,5.2
00-0027973,QB,2022,NO,17,17,14,0.8566176470588236,0,0,0,17,171.03457608174648,172.29999999999998
00-0028118,QB,2022,NYG,17,17,3,0.411096256684492,0,0,0,17,75.73970632597948,9.3
00-0028986,QB,2022,BUF,16,16,2,0.5175653594771242,0,0,0,16,19.924451002034115,0.30000000000000004
00-0029263,QB,2022,DEN,17,17,15,0.9823529411764707,0,0,0,17,265.9243661802957,225.99999999999997
00-0029567,QB,2022,IND,17,17,3,0.45110294117647054,0,0,0,17,59.227126081634154,1.8
00-0029604,QB,2022,MIN,17,17,17,0.7863970588235294,0,0,0,17,200.1540412785607,285.6
00-0029701,QB,2022,TEN,17,17,12,0.9260620915032679,0,0,0,17,251.23889746841883,163.2
00-0030565,QB,2022,SEA,17,17,17,0.3469669117647059,0,0,0,17,83.8764515570059,303.9
00-0031237,QB,2022,MIA,17,17,5,0.6397058823529411,0,0,0,17,129.76283453924353,38.0
00-0031280,QB,2022,LV,17,17,15,0.9774816176470589,0,0,0,17,247.60864445492663,219.0
00-0031345,QB,2022,SF,17,17,11,0.5,0,0,0,17,97.1417909175868,164.70000000000002
00-0031503,QB,2022,NO,17,17,3,0.7436974789915967,0,0,0,17,187.2813031326288,41.9
00-0031800,QB,2022,WAS,17,17,9,0.3740808823529412,0,0,0,17,64.82845188164221,115.9
00-0032156,QB,2022,CHI,17,17,2,0.40808823529411764,0,0,0,17,76.80206662356906,10.2
00-0032268,QB,2022,ATL,17,17,13,0.6691176470588235,0,0,0,17,39.54848489114726,192.7
00-0032434,QB,2022,CIN,16,16,1,0.2843137254901961,0,0,0,16,8.619494570273861,0.8
00-0032436,QB,2022,HOU,17,17,7,0.3125,0,0,0,17,49.45800388387406,17.2
00-0032792,QB,2022,DET,17,17,2,0.10171568627450982,0,0,0,17,4.135164236494143,-0.4
00-0032950,QB,2022,WAS,17,17,8,0.8682598039215685,0,0,0,17,219.3966732654563,108.80000000000001
00-0033077,QB,2022,DAL,17,17,12,0.8854166666666666,0,0,0,17,306.58162613884826,198.6
00-0033106,QB,2022,DET,17,17,17,0.8670343137254902,0,0,0,17,229.44655502082927,280.29999999999995
00-0033119,QB,2022,CLE,17,17,16,0.6188725490196079,0,0,0,17,31.790683213474285,168.7
00-0033275,QB,2022,CAR,17,17,6,0.2720588235294118,0,0,0,17,14.642454129468604,39.2
00-0033319,QB,2022,MIN,17,17,4,0.3115808823529412,0,0,0,17,37.96512956083594,11.8
00-0033357,QB,2022,NO,17,17,16,0.7529411764705882,0,0,0,17,204.14115073673915,145.8
00-0033537,QB,2022,CLE,17,17,6,0.859375,0,0,0,17,310.49476886613104,85.5
00-0033662,QB,2022,DAL,17,17,9,0.15073529411764708,0,0,0,17,11.045096026344096,56.6
00-0033869,QB,2022,PIT,17,17,7,0.725735294117647,0,0,0,17,38.20680800997078,72.0
00-0033873,QB,2022,KC,17,17,17,0.8117647058823529,0,0,0,17,320.87761365876094,411.4
00-0033936,QB,2022,JAX,17,17,4,0.32628676470588236,0,0,0,17,25.305185586282406,-1.0
00-0033949,QB,2022,TEN,17,17,2,0.18566176470588236,0,0,0,17,12.969810232826264,20.9
00-0033958,QB,2022,CHI,17,17,3,0.16636029411764708,0,0,0,17,7.985651121712332,8.3
00-0034177,QB,2022,CHI,17,17,1,0.3272058823529412,0,0,0,17,35.273025936471896,-2.9
00-0034401,QB,2022,NYJ,17,17,4,0.23529411764705882,0,0,0,17,33.336954840514906,56.6
00-0034438,QB,2022,ATL,17,17,1,0.3235294117647059,0,0,0,17,8.017380087204868,0.0
00-0034577,QB,2022,HOU,17,17,2,0.3226102941176471,0,0,0,17,38.22562094931475,15.9
00-0034796,QB,2022,BAL,17,17,12,0.9264705882352942,0,0,0,17,225.64477592739576,234.1
00-0034855,QB,2022,LA,17,17,12,0.9246323529411764,0,0,0,17,251.3376335024286,121.4
00-0034857,QB,2022,BUF,16,16,16,0.9375,0,0,0,16,396.4073201065438,391.70000000000005
00-0034869,QB,2022,CAR,17,17,6,0.7702205882352942,0,0,0,17,123.01949400598484,86.30000000000001
00-0034899,QB,2022,LA,17,17,3,0.14705882352941177,0,0,0,17,0.41079225706372524,14.8
00-0034955,QB,2022,DEN,17,17,4,0.12316176470588236,0,0,0,17,9.083984594589477,18.0
00-0035040,QB,2022,ARI,17,17,2,0.14460784313725492,0,0,0,17,9.140315305404604,18.6
00-0035146,QB,2022,ARI,17,17,6,0.0900735294117647,0,0,0,17,2.7501578325309444,8.7
00-0035228,QB,2022,ARI,17,17,11,0.9607843137254902,0,0,0,17,265.0056714758378,192.59999999999997
00-0035264,QB,2022,LV,17,17,5,0.24448529411764708,0,0,0,17,24.542862701336826,42.7
00-0035289,QB,2022,PHI,17,17,5,0.5575980392156863,0,0,0,17,82.49350735073082,36.8
00-0035710,QB,2022,NYG,17,17,16,0.7781862745098039,0,0,0,17,187.95541690734566,284.9
00-0035752,QB,2022,NYJ,17,17,1,0.15257352941176472,0,0,0,17,-0.08296864830105437,9.0
00-0035939,QB,2022,LA,17,17,5,0.88,0,0,0,17,89.34847467984224,15.5
00-0035993,QB,2022,BAL,17,17,6,0.29411764705882354,0,0,0,17,49.61060018593955,48.0
00-0036212,QB,2022,MIA,17,17,13,0.6948529411764706,0,0,0,17,138.4027754479295,231.0
00-0036264,QB,2022,GB,17,17,4,0.35294117647058826,0,0,0,17,33.87335518476261,11.700000000000001
00-0036355,QB,2022,LAC,17,17,17,0.96875,0,0,0,17,342.07926866632084,279.3
00-0036389,QB,2022,PHI,17,17,15,0.9393382352941176,0,0,0,17,259.6396637393828,374.09999999999997
00-0036442,QB,2022,CIN,16,16,16,0.8125,0,0,0,16,209.37905222389185,344.7
00-0036879,QB,2022,IND,17,17,4,0.17647058823529413,0,0,0,17,0.44149578259718664,35.6
00-0036898,QB,2022,HOU,17,17,15,0.7647058823529411,0,0,0,17,171.71239362038128,179.6
00-0036928,QB,2022,TB,17,17,1,0.88,0,0,0,17,104.53872065501834,0.9
00-0036945,QB,2022,CHI,17,17,15,0.7058823529411765,0,0,0,17,191.87437985878861,294.0
00-0036971,QB,2022,JAX,17,17,17,1.0,0,0,0,17,197.15076773560313,289.7
00-0036972,QB,2022,NE,17,17,14,1.0,0,0,0,17,226.8660076925423,168.1
00-0037012,QB,2022,SF,17,17,2,0.35294117647058826,0,0,0,17,73.15513163157857,12.5
00-0037013,QB,2022,NYJ,17,17,9,0.7647058823529411,0,0,0,17,157.92267651266403,98.99999999999999
00-0037077,QB,2022,WAS,17,17,1,0.88,0,0,0,17,112.09733564998342,18.3
00-0037327,QB,2022,MIA,17,17,7,0.88,0,0,0,17,95.58729171755246,17.5
00-0037834,QB,2022,SF,17,17,9,0.88,0,0,0,17,91.62273711468492,106.30000000000001
00-0038102,QB,2022,PIT,17,17,13,0.88,0,0,0,17,119.66038587888707,146.0
00-0038108,QB,2022,NE,17,17,4,0.88,0,0,0,17,99.41109137762587,39.699999999999996
00-0038122,QB,2022,ATL,17,17,4,0.88,0,0,0,17,114.990053614907,38.8
00-0038128,QB,2022,TEN,17,17,8,0.88,0,0,0,17,104.72666289523366,19.3
00-0027966,RB,2022,NO,17,17,10,0.8419117647058824,0,0,0,17,70.05732417199154,48.1
00-0029239,RB,2022,LV,17,17,10,0.5988562091503268,0,0,0,17,57.67374493910897,27.3
00-0030288,RB,2022,HOU,17,17,16,0.7334558823529411,0,0,0,17,118.51791899522662,71.4
00-0030456,RB,2022,TB,17,17,2,0.8913398692810457,0,0,0,17,97.69415867257722,4.7
00-0030513,RB,2022,DEN,17,17,13,0.9168198529411764,0,0,0,17,82.2073806330586,152.20000000000002
00-0030578,RB,2022,ATL,17,17,13,0.8737745098039216,0,0,0,17,150.17738893805796,148.7
00-0030874,RB,2022,ATL,17,17,1,0.8692226890756303,0,0,0,17,26.77030589951388,0.2
00-0031376,RB,2022,KC,17,17,17,0.9074754901960785,0,0,0,17,174.7432893215862,194.3
00-0031687,RB,2022,MIA,17,17,16,0.36554621848739494,0,0,0,17,50.26093968419474,168.3
00-0031806,RB,2022,LA,17,17,9,0.6239495798319329,0,0,0,17,28.98782728909702,22.8
00-0032058,RB,2022,SF,17,17,3,0.842436974789916,0,0,0,17,90.49581352934013,22.0
00-0032063,RB,2022,BAL,17,17,8,0.6255252100840336,0,0,0,17,69.7534733027377,4.199999999999999
00-0032104,RB,2022,LV,17,17,15,0.7053571428571429,0,0,0,17,63.73135506869949,54.1
00-0032144,RB,2022,DEN,17,17,10,0.8771008403361344,0,0,0,17,148.91612128926647,87.1
00-0032187,RB,2022,NO,17,17,5,0.7699579831932774,0,0,0,17,69.57929512731579,9.1
00-0032257,RB,2022,BUF,16,16,1,0.854516806722689,0,0,0,16,138.12907220183354,0.4
00-0032450,RB,2022,NO,17,17,10,0.30943627450980393,0,0,0,17,7.2646622176219315,5.5
00-0032602,RB,2022,WAS,17,17,8,0.6348039215686275,0,0,0,17,87.59386610731882,53.800000000000004
00-0032764,RB,2022,TEN,17,17,16,0.9007352941176471,0,0,0,17,276.81012262151523,302.8
00-0032780,RB,2022,NO,17,17,2,0.738970588235294,0,0,0,17,75.18486934828984,0.1
00-0032975,RB,2022,WAS,17,17,8,0.33382352941176474,0,0,0,17,17.12200996685917,26.199999999999996
00-0033045,RB,2022,DAL,17,17,15,0.9270833333333334,0,0,0,17,208.89146080696804,185.79999999999998
00-0033118,RB,2022,BAL,17,17,12,0.9093137254901961,0,0,0,17,79.73627008625614,104.1
00-0033280,RB,2022,SF,17,17,17,0.7198529411764706,0,0,0,17,219.37371203942524,364.59999999999997
00-0033293,RB,2022,GB,17,17,17,0.8632352941176471,0,0,0,17,230.03061095260279,246.60000000000002
00-0033296,RB,2022,WAS,17,17,2,0.625,0,0,0,17,1.7844474397321146,0.0
00-0033308,RB,2022,NYG,17,17,17,0.7808823529411765,0,0,0,17,31.54593873225923,59.8
00-0033526,RB,2022,CIN,16,16,16,0.5875,0,0,0,16,26.886354191606415,142.1
00-0033553,RB,2022,ARI,17,17,13,0.8029411764705883,0,0,0,17,176.58081682385804,200.2
00-0033699,RB,2022,LAC,17,17,17,0.8639705882352942,0,0,0,17,204.8946562759186,372.7
00-0033725,RB,2022,ARI,17,17,5,0.5977941176470589,0,0,0,17,19.9653108029499,21.900000000000002
00-0033854,RB,2022,HOU,17,17,13,0.4911764705882353,0,0,0,17,62.361084821305724,48.7
00-0033856,RB,2022,TB,17,17,16,0.8522058823529413,0,0,0,17,231.32060218925915,226.1
00-0033893,RB,2022,MIN,17,17,17,0.7036764705882353,0,0,0,17,176.3122422963965,237.8
00-0033897,RB,2022,CIN,16,16,14,0.825,0,0,0,16,215.21984062268086,239.5
00-0033906,RB,2022,NO,17,17,15,0.9294117647058823,0,0,0,17,288.5981141069256,211.7
00-0033923,RB,2022,CLE,17,17,17,0.7316176470588236,0,0,0,17,134.905666529405,126.8
00-0033925,RB,2022,CAR,17,17,17,0.40625,0,0,0,17,67.51269281235864,129.0
00-0033948,RB,2022,DET,17,17,17,0.9279411764705883,0,0,0,17,97.34702679002706,223.89999999999998
00-0033951,RB,2022,DEN,17,17,5,0.5970588235294116,0,0,0,17,19.196594220254276,38.3
00-0034109,RB,2022,IND,17,17,3,0.8621323529411764,0,0,0,17,47.3129004240312,12.8
00-0034115,RB,2022,MIA,17,17,16,0.5386029411764706,0,0,0,17,37.42897169319344,158.5
00-0034184,RB,2022,BAL,17,17,9,0.9019607843137255,0,0,0,17,104.68270684347893,59.300000000000004
00-0034208,RB,2022,DEN,17,17,9,0.3492647058823529,0,0,0,17,8.028113623542277,28.799999999999997
00-0034253,RB,2022,TEN,17,17,12,0.5064338235294118,0,0,0,17,51.8921175767319,77.2
00-0034301,RB,2022,ARI,17,17,5,0.765625,0,0,0,17,101.96098178189773,21.099999999999994
00-0034367,RB,2022,BUF,17,17,16,1.0,0,0,0,17,72.78763207080954,69.4
00-0034400,RB,2022,IND,17,17,4,0.629595588235294,0,0,0,17,31.157191894860176,14.7
00-0034414,RB,2022,PHI,17,17,15,0.7450980392156863,0,0,0,17,82.0311092698367,46.2
00-0034440,RB,2022,DET,17,17,12,0.5882352941176471,0,0,0,17,88.10923830751464,51.1
00-0034578,RB,2022,WAS,17,17,1,0.24877450980392157,0,0,0,17,15.33261252252583,0.8
00-0034614,RB,2022,SEA,17,17,2,0.5294117647058824,0,0,0,17,18.455474100365674,1.7
00-0034681,RB,2022,DEN,17,17,13,0.8474264705882353,0,0,0,17,167.91500222850482,74.19999999999999
00-0034750,RB,2022,SEA,17,17,5,0.5294117647058824,0,0,0,17,98.4136026427354,52.199999999999996
00-0034791,RB,2022,CLE,17,17,17,0.9117647058823528,0,0,0,17,201.9832301823791,279.40000000000003
00-0034816,RB,2022,KC,17,17,6,0.8602941176470589,0,0,0,17,112.6678961996862,16.2
00-0034838,RB,2022,HOU,17,17,4,0.8943014705882353,0,0,0,17,41.09497030398757,18.999999999999996
00-0034844,RB,2022,NYG,17,17,16,0.6755514705882353,0,0,0,17,118.81912438225675,282.0
00-0034845,RB,2022,LAC,17,17,10,0.890625,0,0,0,17,90.88241445745494,24.900000000000002
00-0034972,RB,2022,MIN,17,17,17,0.8786764705882352,0,0,0,17,65.9485787296919,88.39999999999999
00-0034975,RB,2022,BAL,17,17,15,0.8235294117647058,0,0,0,17,12.889194898167174,41.99999999999999
00-0035184,RB,2022,DEN,17,17,3,0.2267156862745098,0,0,0,17,3.9945338097882095,1.7
00-0035217,RB,2022,PIT,17,17,4,0.8370098039215685,0,0,0,17,45.92119622206775,18.7
00-0035243,RB,2022,PHI,17,17,17,0.8382352941176471,0,0,0,17,101.5123869729977,216.70000000000002
00-0035250,RB,2022,BUF,16,16,16,0.9215686274509803,0,0,0,16,206.7484014362824,177.89999999999998
00-0035261,RB,2022,DAL,17,17,16,0.9595588235294118,0,0,0,17,144.62546539553176,248.8
00-0035273,RB,2022,DAL,17,17,1,0.30392156862745096,0,0,0,17,6.615820093125781,0.0
00-0035291,RB,2022,CIN,16,16,5,0.24754901960784315,0,0,0,16,7.89044428058737,8.0
00-0035311,RB,2022,MIA,17,17,2,0.6875,0,0,0,17,49.671050402121026,9.4
00-0035537,RB,2022,NYJ,17,17,11,0.8762254901960785,0,0,0,17,83.11427575047888,42.8
