player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0019596,QB,2016,NE,16,16,12,0.90625,0,0,0,16,269.66757882037996,256.4
00-0020531,QB,2016,NO,16,16,16,0.99375,0,0,0,16,266.3641050559576,332.29999999999995
00-0020679,QB,2016,MIN,16,16,3,0.3055555555555556,0,0,0,16,13.280421615016088,10.099999999999998
00-0021206,QB,2016,CLE,16,16,5,0.3359375,0,0,0,16,67.89440008837107,50.099999999999994
00-0021429,QB,2016,ARI,16,16,15,0.81875,0,0,0,16,176.09229636317784,241.1
00-0021678,QB,2016,DAL,16,16,1,0.825,0,0,0,16,213.9494281872606,5.2
00-0022787,QB,2016,ATL,16,16,3,0.625,0,0,0,16,56.021658093550585,0.39999999999999997
00-0022803,QB,2016,NYG,16,16,16,1.0,0,0,0,16,285.655355154374,224.1
00-0022924,QB,2016,PIT,16,16,14,0.95,0,0,0,16,219.00915095434794,246.29999999999998
00-0022942,QB,2016,LAC,16,16,16,1.0,0,0,0,16,258.9445598911057,258.79999999999995
00-0023436,QB,2016,KC,16,16,15,0.8194444444444444,0,0,0,16,217.42785305221665,220.89999999999998
00-0023459,QB,2016,GB,16,16,16,0.7875,0,0,0,16,191.60958018948944,376.0
00-0023645,QB,2016,CAR,16,16,5,0.425,0,0,0,16,3.632701085482089,14.5
00-0023662,QB,2016,TEN,16,16,4,0.6,0,0,0,16,61.69151690169839,15.7
00-0023682,QB,2016,NYJ,16,16,14,0.7430555555555556,0,0,0,16,169.0811314726332,133.40000000000003
00-0024226,QB,2016,CHI,16,16,5,0.84375,0,0,0,16,197.20332392671637,46.800000000000004
00-0024264,QB,2016,LAC,16,16,1,0.25,0,0,0,16,5.703800101525568,-0.1
00-0024296,QB,2016,CLE,16,16,1,0.23958333333333334,0,0,0,16,6.146122886224387,9.4
00-0025430,QB,2016,ARI,16,16,5,0.35,0,0,0,16,0.6925713098715416,9.400000000000002
00-0025708,QB,2016,MIA,16,16,4,0.3125,0,0,0,16,4.005353935415771,54.7
00-0026143,QB,2016,ATL,16,16,16,0.984375,0,0,0,16,270.51271682363125,343.5
00-0026158,QB,2016,BAL,16,16,16,0.953125,0,0,0,16,239.95575460717563,234.5
00-0026197,QB,2016,JAX,16,16,1,0.5535714285714286,0,0,0,16,101.47459584260795,-0.2
00-0026498,QB,2016,DET,16,16,16,0.8303571428571429,0,0,0,16,229.44568688911934,277.7
00-0026544,QB,2016,PHI,16,16,1,0.17708333333333334,0,0,0,16,5.590116890545946,0.6
00-0026625,QB,2016,CHI,16,16,6,0.375,0,0,0,16,66.89265239813687,79.69999999999999
00-0026898,QB,2016,DAL,16,16,2,0.7916666666666666,0,0,0,16,89.16409021367186,-0.5
00-0027796,QB,2016,CAR,16,16,3,0.2916666666666667,0,0,0,16,2.3823562805902094,1.3
00-0027854,QB,2016,MIN,16,16,15,0.7875,0,0,0,16,198.2867163932406,221.90000000000003
00-0027939,QB,2016,CAR,16,16,15,1.0,0,0,0,16,313.6871839886437,250.29999999999998
00-0027948,QB,2016,SF,16,16,6,0.4625,0,0,0,16,91.89243142034972,73.7
00-0027973,QB,2016,CIN,16,16,16,0.9625,0,0,0,16,253.3659300471932,260.6
