player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0019596,QB,2016,NE,16,16,12,0.90625,0,0,0,16,263.60105668472005,256.4
00-0020531,QB,2016,NO,16,16,16,0.99375,0,0,0,16,271.08344298699683,332.29999999999995
00-0020679,QB,2016,MIN,16,16,3,0.3055555555555556,0,0,0,16,11.740728976588263,10.099999999999998
00-0021206,QB,2016,CLE,16,16,5,0.3359375,0,0,0,16,74.76950424710766,50.099999999999994
00-0021429,QB,2016,ARI,16,16,15,0.81875,0,0,0,16,163.3242376982507,241.1
00-0021678,QB,2016,DAL,16,16,1,0.825,0,0,0,16,222.68243682292365,5.2
00-0022787,QB,2016,ATL,16,16,3,0.625,0,0,0,16,63.37063510784048,0.39999999999999997
00-0022803,QB,2016,NYG,16,16,16,1.0,0,0,0,16,269.1956352268935,224.1
00-0022924,QB,2016,PIT,16,16,14,0.95,0,0,0,16,205.11435500379284,246.29999999999998
00-0022942,QB,2016,LAC,16,16,16,1.0,0,0,0,16,255.14470761749618,258.79999999999995
00-0023436,QB,2016,KC,16,16,15,0.8194444444444444,0,0,0,16,219.22726781804454,220.89999999999998
00-0023459,QB,2016,GB,16,16,16,0.7875,0,0,0,16,194.89570665043945,376.0
00-0023645,QB,2016,CAR,16,16,5,0.425,0,0,0,16,3.154756788062797,14.5
00-0023662,QB,2016,TEN,16,16,4,0.6,0,0,0,16,49.659178734412706,15.7
00-0023682,QB,2016,NYJ,16,16,14,0.7430555555555556,0,0,0,16,175.48882945746465,133.40000000000003
00-0024226,QB,2016,CHI,16,16,5,0.84375,0,0,0,16,204.55325062501697,46.800000000000004
00-0024264,QB,2016,LAC,16,16,1,0.25,0,0,0,16,5.586764160147699,-0.1
00-0024296,QB,2016,CLE,16,16,1,0.23958333333333334,0,0,0,16,8.966475825165752,9.4
00-0025430,QB,2016,ARI,16,16,5,0.35,0,0,0,16,0.3276641922616748,9.400000000000002
00-0025708,QB,2016,MIA,16,16,4,0.3125,0,0,0,16,1.989919502408441,54.7
00-0026143,QB,2016,ATL,16,16,16,0.984375,0,0,0,16,266.34257391448,343.5
00-0026158,QB,2016,BAL,16,16,16,0.953125,0,0,0,16,245.8376585247172,234.5
00-0026197,QB,2016,JAX,16,16,1,0.5535714285714286,0,0,0,16,102.52380769664721,-0.2
00-0026498,QB,2016,DET,16,16,16,0.8303571428571429,0,0,0,16,222.61533828745786,277.7
00-0026544,QB,2016,PHI,16,16,1,0.17708333333333334,0,0,0,16,7.50844169383787,0.6
00-0026625,QB,2016,CHI,16,16,6,0.375,0,0,0,16,61.62245260425173,79.69999999999999
00-0026898,QB,2016,DAL,16,16,2,0.7916666666666666,0,0,0,16,94.6044991235769,-0.5
00-0027796,QB,2016,CAR,16,16,3,0.2916666666666667,0,0,0,16,-0.07886464743633644,1.3
00-0027854,QB,2016,MIN,16,16,15,0.7875,0,0,0,16,194.83392572331883,221.90000000000003
00-0027939,QB,2016,CAR,16,16,15,1.0,0,0,0,16,327.9771174507531,250.29999999999998
00-0027948,QB,2016,SF,16,16,6,0.4625,0,0,0,16,97.29245597429114,73.7
00-0027973,QB,2016,CIN,16,16,16,0.9625,0,0,0,16,249.02605364419557,260.6
00-0027974,QB,2016,SF,16,16,12,0.7375,0,0,0,16,149.60070638139007,198.29999999999998
00-0028012,QB,2016,BAL,16,16,4,0.2916666666666667,0,0,0,16,39.1860718158993,-1.5
00-0028118,QB,2016,BUF,16,16,15,0.3125,0,0,0,16,84.0866453378926,266.90000000000003
00-0028595,QB,2016,IND,16,16,3,0.1875,0,0,0,16,5.63508121934393,8.9
00-0028986,QB,2016,LA,16,16,10,0.3125,0,0,0,16,53.32544418516035,111.0
00-0029263,QB,2016,SEA,16,16,16,1.0,0,0,0,16,291.24312161862156,268.09999999999997
00-0029567,QB,2016,KC,16,16,3,0.625,0,0,0,16,57.99384758946114,28.0
00-0029604,QB,2016,WAS,16,16,16,0.484375,0,0,0,16,151.59382225578116,300.3
00-0029665,QB,2016,CLE,16,16,5,0.7916666666666666,0,0,0,16,158.77300302866604,66.5
00-0029668,QB,2016,IND,16,16,15,0.859375,0,0,0,16,216.0707939699331,303.59999999999997
00-0029682,QB,2016,HOU,16,16,15,0.3125,0,0,0,16,50.75780709897506,169.7
00-0029701,QB,2016,MIA,16,16,13,1.0,0,0,0,16,262.0499275694569,188.30000000000004
00-0030419,QB,2016,LV,16,16,3,0.20833333333333334,0,0,0,16,31.305216723648428,1.7000000000000002
00-0030520,QB,2016,TB,16,16,2,0.59375,0,0,0,16,123.88539947108968,7.0
00-0030524,QB,2016,PIT,16,16,8,0.5,0,0,0,16,5.476447163707552,33.9
00-0030526,QB,2016,BUF,16,16,6,0.4375,0,0,0,16,57.718810816919,5.4
00-0030533,QB,2016,CHI,16,16,7,0.125,0,0,0,16,2.371809523954363,71.80000000000001
00-0030565,QB,2016,NYJ,16,16,2,0.6458333333333334,0,0,0,16,127.4507781025508,7.9
00-0031064,QB,2016,HOU,16,16,3,0.125,0,0,0,16,5.151446137534525,17.6
00-0031076,QB,2016,CHI,16,16,1,0.88,0,0,0,16,35.1552460532585,0.9
00-0031280,QB,2016,LV,16,16,15,1.0,0,0,0,16,224.076053188969,258.7
00-0031288,QB,2016,CIN,16,16,1,0.5,0,0,0,16,77.08864245076454,0.0
00-0031345,QB,2016,NE,16,16,6,0.34375,0,0,0,16,-2.20809771148907,36.0
00-0031407,QB,2016,JAX,16,16,16,0.9375,0,0,0,16,235.5457850744007,267.1
00-0031503,QB,2016,TB,16,16,16,1.0,0,0,0,16,243.86476141523218,250.2
00-0031568,QB,2016,NYJ,16,16,6,0.88,0,0,0,16,37.1997603465639,30.299999999999997
00-0031589,QB,2016,GB,16,16,4,0.88,0,0,0,16,27.767613747371136,-1.5
00-0032156,QB,2016,DEN,16,16,14,0.0625,0,0,0,16,4.153989659347022,189.6
00-0032245,QB,2016,LA,16,16,1,0.0625,0,0,0,16,2.414300825406013,-1.3
