player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0007091,QB,2015,IND,16,16,8,0.6805555555555556,0,0,0,16,37.77621443941454,91.2
00-0010346,QB,2015,DEN,16,16,10,1.0,0,0,0,16,310.68446353797947,91.3
00-0019596,QB,2015,NE,16,16,16,0.8958333333333334,0,0,0,16,255.95749347219407,344.7
00-0020245,QB,2015,PIT,16,16,5,0.7321428571428571,0,0,0,16,75.5134204643054,30.700000000000003
00-0020531,QB,2015,NO,16,16,15,1.0,0,0,0,16,327.73599997582625,304.29999999999995
00-0020679,QB,2015,MIN,16,16,3,0.3203125,0,0,0,16,61.55935761061534,0.09999999999999998
00-0021206,QB,2015,CLE,16,16,8,0.3125,0,0,0,16,41.49206114396559,128.10000000000002
00-0021429,QB,2015,ARI,16,16,16,0.7986111111111112,0,0,0,16,170.54217495324346,309.2
00-0021678,QB,2015,DAL,16,16,4,0.8888888888888888,0,0,0,16,246.2264475350774,40.60000000000001
00-0022787,QB,2015,BAL,16,16,2,0.6805555555555556,0,0,0,16,83.98758538967506,26.6
00-0022803,QB,2015,NYG,16,16,16,1.0,0,0,0,16,253.53801019601062,287.5
00-0022864,QB,2015,NO,16,16,2,0.16964285714285715,0,0,0,16,3.149034505150166,11.4
00-0022924,QB,2015,PIT,16,16,12,0.9583333333333334,0,0,0,16,239.78871776063693,212.60000000000002
00-0022942,QB,2015,LAC,16,16,16,1.0,0,0,0,16,209.10618233938845,280.2
00-0023436,QB,2015,KC,16,16,16,0.796875,0,0,0,16,192.3782084364576,267.0
00-0023459,QB,2015,GB,16,16,16,0.7638888888888888,0,0,0,16,155.3916165249379,293.3
00-0023578,QB,2015,DET,16,16,2,0.328125,0,0,0,16,19.19636719770825,10.0
00-0023645,QB,2015,CAR,16,16,3,0.4444444444444444,0,0,0,16,33.386182542366164,1.2
00-0023662,QB,2015,DAL,16,16,9,0.6041666666666666,0,0,0,16,97.74453627342731,64.9
00-0023682,QB,2015,NYJ,16,16,16,0.7109375,0,0,0,16,150.13116974844922,285.1
00-0024226,QB,2015,CHI,16,16,15,0.8333333333333334,0,0,0,16,193.89210244692248,224.3
00-0024264,QB,2015,LAC,16,16,2,0.2638888888888889,0,0,0,16,16.711064030257155,6.4
00-0024279,QB,2015,SEA,16,16,4,0.4296875,0,0,0,16,5.730352949978119,0.7
00-0024296,QB,2015,IND,16,16,4,0.2375,0,0,0,16,33.12762291774213,4.0
00-0025430,QB,2015,ARI,16,16,7,0.328125,0,0,0,16,45.77107782306902,-1.1
00-0025708,QB,2015,MIA,16,16,1,0.3482142857142857,0,0,0,16,1.5223499291320912,0.4
00-0026143,QB,2015,ATL,16,16,16,0.9821428571428571,0,0,0,16,267.6948006015683,231.9
00-0026158,QB,2015,BAL,16,16,10,1.0,0,0,0,16,244.00010632482451,160.10000000000002
00-0026498,QB,2015,DET,16,16,16,0.8020833333333334,0,0,0,16,196.4574561656386,290.7
00-0026544,QB,2015,KC,16,16,2,0.175,0,0,0,16,14.867784019789706,0.0
00-0026625,QB,2015,HOU,16,16,11,0.3125,0,0,0,16,45.654150894979765,166.6
00-0026898,QB,2015,PHI,16,16,4,0.9,0,0,0,16,215.02065802649687,32.8
00-0026993,QB,2015,IND,16,16,1,0.7625,0,0,0,16,77.75066663971606,10.4
00-0027659,QB,2015,BAL,16,16,4,0.53125,0,0,0,16,75.42774204851217,33.1
00-0027688,QB,2015,WAS,16,16,2,0.4,0,0,0,16,81.37134177279897,8.8
00-0027796,QB,2015,CAR,16,16,4,0.3,0,0,0,16,7.776331460397812,-0.1
00-0027854,QB,2015,PHI,16,16,14,0.765625,0,0,0,16,177.04333172466787,194.79999999999998
00-0027939,QB,2015,CAR,16,16,16,1.0,0,0,0,16,241.8959309269493,389.1
00-0027948,QB,2015,SF,16,16,8,0.453125,0,0,0,16,41.51092605216059,129.8
00-0027973,QB,2015,CIN,16,16,13,1.0,0,0,0,16,208.13876458670728,244.2
00-0027974,QB,2015,SF,16,16,9,0.78125,0,0,0,16,220.08308165754235,108.30000000000001
00-0028012,QB,2015,BAL,16,16,8,0.1875,0,0,0,16,16.72350360060766,69.0
00-0028090,QB,2015,HOU,16,16,4,0.234375,0,0,0,16,-0.7411599701456629,22.899999999999995
00-0028118,QB,2015,BUF,16,16,14,0.171875,0,0,0,16,7.042258416759215,269.59999999999997
00-0028595,QB,2015,GB,16,16,3,0.1875,0,0,0,16,34.187337706329444,-0.09999999999999998
00-0028957,QB,2015,CLE,16,16,3,0.5625,0,0,0,16,106.49238019410753,19.2
00-0028986,QB,2015,LA,16,16,5,0.3125,0,0,0,16,47.39207868979823,43.6
00-0029263,QB,2015,SEA,16,16,16,1.0,0,0,0,16,274.21096228643955,336.3
00-0029531,QB,2015,IND,16,16,1,0.3125,0,0,0,16,35.64791980699997,6.3
00-0029567,QB,2015,LA,16,16,11,0.6041666666666666,0,0,0,16,137.67914471945556,93.89999999999999
00-0029604,QB,2015,WAS,16,16,16,0.3125,0,0,0,16,72.36516233152568,289.5
00-0029668,QB,2015,IND,16,16,7,1.0,0,0,0,16,230.37771512075983,128.8
