player,position_x,season,team_off,possible_weeks_off,weeks_predicted_off,games_actually_played_off,availability_rate_off,weeks_real_stats_off,weeks_inferred_snap_verified_off,weeks_inferred_pbp_confirmed_off,weeks_synthetic_off,predicted_season_total_off,actual_season_total_off,team_on,possible_weeks_on,weeks_predicted_on,games_actually_played_on,availability_rate_on,weeks_real_stats_on,weeks_inferred_snap_verified_on,weeks_inferred_pbp_confirmed_on,weeks_synthetic_on,predicted_season_total_on,actual_season_total_on,player_id,position_y,weeks,weeks_changed,cells_changed,dose,first_season,is_rookie,stratum,e_off,e_on,b_off,b_on
00-0007091,QB,2015,IND,16,16,8,0.6805555555555556,0,0,0,16,37.77621443941454,91.2,IND,16,16,8,0.6805555555555556,0,0,0,16,31.2121262886992,91.2,00-0007091,QB,8,1,9,0.125,2006,0,low,53.423785560585465,59.98787371130081,-53.423785560585465,-59.98787371130081
00-0010346,QB,2015,DEN,16,16,10,1.0,0,0,0,16,310.68446353797947,91.3,DEN,16,16,10,1.0,0,0,0,16,306.7953630002245,91.3,00-0010346,QB,13,2,11,0.1538461538461538,2006,0,low,219.38446353797946,215.49536300022447,219.38446353797946,215.49536300022447
00-0019596,QB,2015,NE,16,16,16,0.8958333333333334,0,0,0,16,255.95749347219407,344.7,NE,16,16,16,0.8958333333333334,0,0,0,16,263.00435689756785,344.7,00-0019596,QB,18,2,11,0.1111111111111111,2006,0,low,88.74250652780592,81.69564310243214,-88.74250652780592,-81.69564310243214
00-0020245,QB,2015,PIT,16,16,5,0.7321428571428571,0,0,0,16,75.5134204643054,30.700000000000003,PIT,16,16,5,0.7321428571428571,0,0,0,16,65.63471676183042,30.700000000000003,00-0020245,QB,5,1,9,0.2,2006,0,low,44.813420464305395,34.934716761830416,44.813420464305395,34.934716761830416
00-0020531,QB,2015,NO,16,16,15,1.0,0,0,0,16,327.73599997582625,304.29999999999995,NO,16,16,15,1.0,0,0,0,16,300.7666745190223,304.29999999999995,00-0020531,QB,15,2,11,0.1333333333333333,2006,0,low,23.43599997582629,3.5333254809776804,23.43599997582629,-3.5333254809776804
00-0020679,QB,2015,MIN,16,16,3,0.3203125,0,0,0,16,61.55935761061534,0.0999999999999999,MIN,16,16,3,0.3203125,0,0,0,16,60.15879398987642,0.0999999999999999,00-0020679,QB,3,1,9,0.3333333333333333,2007,0,mid,61.45935761061534,60.05879398987642,61.45935761061534,60.05879398987642
00-0021206,QB,2015,CLE,16,16,8,0.3125,0,0,0,16,41.49206114396559,128.10000000000002,CLE,16,16,8,0.3125,0,0,0,16,38.6550050119434,128.10000000000002,00-0021206,QB,8,2,11,0.25,2006,0,low,86.60793885603442,89.44499498805662,-86.60793885603442,-89.44499498805662
00-0021429,QB,2015,ARI,16,16,16,0.7986111111111112,0,0,0,16,170.54217495324346,309.2,ARI,16,16,16,0.7986111111111112,0,0,0,16,192.5080271700973,309.2,00-0021429,QB,18,2,11,0.1111111111111111,2006,0,low,138.65782504675653,116.69197282990268,-138.65782504675653,-116.69197282990268
00-0021678,QB,2015,DAL,16,16,4,0.8888888888888888,0,0,0,16,246.2264475350774,40.60000000000001,DAL,16,16,4,0.8888888888888888,0,0,0,16,232.2763725399529,40.60000000000001,00-0021678,QB,4,2,11,0.5,2006,0,mid,205.62644753507738,191.67637253995287,205.62644753507738,191.67637253995287
00-0022787,QB,2015,BAL,16,16,2,0.6805555555555556,0,0,0,16,83.98758538967506,26.6,BAL,16,16,2,0.6805555555555556,0,0,0,16,75.8443074438055,26.6,00-0022787,QB,2,1,9,0.5,2006,0,mid,57.38758538967506,49.2443074438055,57.38758538967506,49.2443074438055
00-0022803,QB,2015,NYG,16,16,16,1.0,0,0,0,16,253.53801019601065,287.5,NYG,16,16,16,1.0,0,0,0,16,235.81801773621672,287.5,00-0022803,QB,16,2,11,0.125,2006,0,low,33.961989803989354,51.68198226378328,-33.961989803989354,-51.68198226378328
00-0022864,QB,2015,NO,16,16,2,0.1696428571428571,0,0,0,16,3.149034505150166,11.4,NO,16,16,2,0.1696428571428571,0,0,0,16,3.130623102245154,11.4,00-0022864,QB,2,1,9,0.5,2007,0,mid,8.250965494849835,8.269376897754846,-8.250965494849835,-8.269376897754846
00-0022924,QB,2015,PIT,16,16,12,0.9583333333333334,0,0,0,16,239.78871776063693,212.6,PIT,16,16,12,0.9583333333333334,0,0,0,16,232.22287576592515,212.6,00-0022924,QB,14,2,11,0.1428571428571428,2006,0,low,27.188717760636933,19.62287576592516,27.188717760636933,19.62287576592516
00-0022942,QB,2015,LAC,16,16,16,1.0,0,0,0,16,209.10618233938845,280.2,LAC,16,16,16,1.0,0,0,0,16,212.62071875832413,280.2,00-0022942,QB,16,2,11,0.125,2006,0,low,71.09381766061153,67.57928124167586,-71.09381766061153,-67.57928124167586
00-0023436,QB,2015,KC,16,16,16,0.796875,0,0,0,16,192.3782084364576,267.0,KC,16,16,16,0.796875,0,0,0,16,185.03113733751843,267.0,00-0023436,QB,18,2,11,0.1111111111111111,2006,0,low,74.62179156354239,81.96886266248157,-74.62179156354239,-81.96886266248157
