player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0019596,QB,2021,TB,17,17,17,0.9333333333333333,0,0,0,17,281.46536079719107,374.7
00-0022924,QB,2021,PIT,17,17,16,0.9083333333333333,0,0,0,17,275.95479877064184,214.0
00-0023459,QB,2021,GB,17,17,16,0.8208333333333333,0,0,0,17,310.1212684831511,333.3
00-0023682,QB,2021,WAS,17,17,1,0.7098214285714286,0,0,0,17,178.96532826242486,0.7
00-0026143,QB,2021,ATL,17,17,17,0.9855769230769231,0,0,0,17,313.13532831907554,220.8
00-0026158,QB,2021,NYJ,17,17,2,0.8461538461538461,0,0,0,17,203.81724736732838,23.799999999999997
00-0026197,QB,2021,KC,17,17,4,0.3977272727272727,0,0,0,17,7.753729440557819,3.3
00-0026300,QB,2021,BAL,17,17,4,0.3020833333333333,0,0,0,17,42.72609974632106,44.4
00-0026498,QB,2021,LA,17,17,17,0.859375,0,0,0,17,241.30775204122702,325.8
00-0026544,QB,2021,LAC,17,17,1,0.17613636363636365,0,0,0,17,14.809140599010302,-0.2
00-0026625,QB,2021,NE,17,17,5,0.3645833333333333,0,0,0,17,8.639638362664604,12.3
00-0027688,QB,2021,ARI,17,17,7,0.26875,0,0,0,17,25.755249216646114,41.3
00-0027939,QB,2021,CAR,17,17,8,0.8875,0,0,0,17,243.35754240364355,84.3
00-0027948,QB,2021,TB,17,17,6,0.4166666666666667,0,0,0,17,15.465421243191194,1.8999999999999997
00-0027973,QB,2021,CHI,17,17,8,0.9,0,0,0,17,211.31211225975085,80.1
00-0028118,QB,2021,HOU,17,17,6,0.425,0,0,0,17,23.79326411691383,81.69999999999999
00-0028986,QB,2021,CLE,17,17,7,0.53125,0,0,0,17,38.48275719601286,28.599999999999998
00-0029263,QB,2021,SEA,17,17,14,1.0,0,0,0,17,329.5431793979197,240.7
00-0029567,QB,2021,CHI,17,17,1,0.5069444444444444,0,0,0,17,57.53927902276209,14.8
00-0029604,QB,2021,MIN,17,17,16,0.7708333333333334,0,0,0,17,257.80199785528765,300.3
00-0029701,QB,2021,TEN,17,17,17,0.9296875,0,0,0,17,273.81716995155324,270.3
00-0030520,QB,2021,NYG,17,17,6,0.30357142857142855,0,0,0,17,61.278256941083875,30.900000000000002
00-0030565,QB,2021,SEA,17,17,4,0.36607142857142855,0,0,0,17,6.4094990131675305,54.300000000000004
00-0031237,QB,2021,DEN,17,17,14,0.6145833333333334,0,0,0,17,131.27298235450272,200.79999999999998
00-0031280,QB,2021,LV,17,17,17,0.9821428571428571,0,0,0,17,288.1422239957499,256.6
00-0031345,QB,2021,SF,17,17,15,0.42857142857142855,0,0,0,17,90.76669167175108,225.49999999999997
