player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0023459,QB,2024,NYJ,17,17,17,0.798406862745098,0,0,0,17,195.93000187025987,252.60000000000002
00-0026158,QB,2024,IND,17,17,8,0.7352941176470589,0,0,0,17,189.4773795829777,99.19999999999999
00-0026300,QB,2024,BAL,17,17,6,0.2780330882352941,0,0,0,17,25.22827090984043,0.7
00-0026498,QB,2024,LA,17,17,16,0.8522058823529411,0,0,0,17,261.2635641140672,214.60000000000002
00-0027973,QB,2024,CAR,17,17,6,0.8054298642533937,0,0,0,17,109.25073548315765,58.9
00-0028118,QB,2024,NYJ,17,17,2,0.417420814479638,0,0,0,17,98.55651183898235,18.0
00-0029263,QB,2024,PIT,17,17,11,0.965686274509804,0,0,0,17,285.9349462835435,172.79999999999998
00-0029604,QB,2024,ATL,17,17,14,0.7791053921568628,0,0,0,17,217.34298141407763,176.3
00-0030565,QB,2024,SEA,17,17,17,0.4680147058823529,0,0,0,17,121.244191134191,266.1
00-0031280,QB,2024,NO,17,17,10,0.9757352941176471,0,0,0,17,275.6419988228919,149.0
00-0031345,QB,2024,LA,17,17,1,0.5058823529411766,0,0,0,17,59.55540265205842,19.9
00-0031503,QB,2024,CLE,17,17,12,0.6458333333333334,0,0,0,17,62.6601944996724,123.19999999999999
00-0031800,QB,2024,LAC,17,17,4,0.38786764705882354,0,0,0,17,75.20704524858411,3.2
00-0032268,QB,2024,WAS,17,17,3,0.6286764705882353,0,0,0,17,56.79349040004417,45.7
00-0032434,QB,2024,SF,17,17,3,0.22886029411764708,0,0,0,17,1.4520003874865572,6.4
00-0032436,QB,2024,WAS,17,17,1,0.28161764705882353,0,0,0,17,24.51309299843829,0.0
00-0032950,QB,2024,KC,17,17,3,0.7297794117647058,0,0,0,17,123.55389074574889,4.7
00-0033077,QB,2024,DAL,17,17,8,0.8920036764705882,0,0,0,17,307.75868891458435,116.5
00-0033106,QB,2024,DET,17,17,17,0.9076286764705882,0,0,0,17,256.34778813755446,322.5
00-0033119,QB,2024,NE,17,17,8,0.6112132352941176,0,0,0,17,74.05037315793793,43.2
00-0033319,QB,2024,MIN,17,17,4,0.2959558823529412,0,0,0,17,56.44431145560557,1.4000000000000001
00-0033357,QB,2024,NO,17,17,8,0.807247899159664,0,0,0,17,81.16600963204498,102.30000000000001
00-0033537,QB,2024,CLE,17,17,7,0.6905637254901961,0,0,0,17,174.7070536623177,74.6
00-0033662,QB,2024,DAL,17,17,12,0.25796568627450983,0,0,0,17,1.998880549036345,107.60000000000001
00-0033869,QB,2024,BUF,17,17,9,0.6328781512605042,0,0,0,17,109.33190446468913,15.3
00-0033873,QB,2024,KC,17,17,16,0.8660714285714286,0,0,0,17,271.05366269194366,282.90000000000003
00-0033949,QB,2024,SF,17,17,2,0.31433823529411764,0,0,0,17,68.08702446449966,30.799999999999997
00-0034177,QB,2024,NYG,17,17,3,0.2433823529411765,0,0,0,17,35.8693848336177,14.0
00-0034401,QB,2024,BUF,17,17,1,0.2745098039215686,0,0,0,17,4.231773375622421,1.1
00-0034577,QB,2024,PIT,17,17,1,0.3057598039215686,0,0,0,17,0.7121130631198596,0.8
00-0034771,QB,2024,TEN,17,17,8,0.33731617647058826,0,0,0,17,54.92213598139924,93.8
00-0034796,QB,2024,BAL,17,17,17,0.9019607843137255,0,0,0,17,313.86993435999915,428.4
00-0034855,QB,2024,TB,17,17,17,0.9007352941176471,0,0,0,17,263.690339037683,363.8
00-0034857,QB,2024,BUF,17,17,17,0.9583333333333334,0,0,0,17,386.6491581976214,370.4
00-0034869,QB,2024,MIN,17,17,17,0.670343137254902,0,0,0,17,46.60269406402487,307.80000000000007
00-0035100,QB,2024,CIN,17,17,3,0.5294117647058824,0,0,0,17,119.98302800897947,-0.2
00-0035228,QB,2024,ARI,17,17,17,0.8,0,0,0,17,228.03821433595877,295.4
00-0035264,QB,2024,DEN,17,17,3,0.24264705882352944,0,0,0,17,49.00742429158101,0.49999999999999994
00-0035289,QB,2024,LV,17,17,10,0.5933823529411765,0,0,0,17,128.35047919695603,94.50000000000001
00-0035704,QB,2024,NYG,17,17,7,0.4283088235294118,0,0,0,17,64.51164030542135,78.10000000000001
00-0035710,QB,2024,NYG,17,17,10,0.7375,0,0,0,17,112.45292501627198,135.3
00-0035993,QB,2024,MIA,17,17,5,0.32628676470588236,0,0,0,17,28.017035084366405,60.7
00-0036212,QB,2024,MIA,17,17,11,0.7886029411764706,0,0,0,17,165.38894341769065,177.50000000000003
00-0036264,QB,2024,GB,17,17,15,0.5294117647058824,0,0,0,17,162.7370242821946,227.89999999999998
00-0036355,QB,2024,LAC,17,17,17,0.9255514705882353,0,0,0,17,261.5579530068811,279.59999999999997
