player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0019596,QB,2021,TB,17,17,17,0.9333333333333333,0,0,0,17,262.6542689995369,374.7
00-0022924,QB,2021,PIT,17,17,16,0.8931372549019608,0,0,0,17,272.18407884471947,214.0
00-0023459,QB,2021,GB,17,17,16,0.8183823529411764,0,0,0,17,280.7812471914106,333.3
00-0023682,QB,2021,WAS,17,17,1,0.7098214285714286,0,0,0,17,167.78394671472842,0.7
00-0026143,QB,2021,ATL,17,17,17,0.9855769230769231,0,0,0,17,297.48560475506764,220.8
00-0026158,QB,2021,NYJ,17,17,2,0.8436085972850679,0,0,0,17,206.20981577999976,23.799999999999997
00-0026197,QB,2021,KC,17,17,4,0.39672459893048123,0,0,0,17,11.282667206239026,3.3
00-0026300,QB,2021,BAL,17,17,4,0.3008578431372549,0,0,0,17,54.93675271436475,44.4
00-0026498,QB,2021,LA,17,17,17,0.859375,0,0,0,17,247.8879333310292,325.8
00-0026544,QB,2021,LAC,17,17,1,0.1697860962566845,0,0,0,17,19.65310615436997,-0.2
00-0026625,QB,2021,NE,17,17,5,0.3596813725490196,0,0,0,17,16.005596863970556,12.3
00-0027688,QB,2021,ARI,17,17,7,0.2665441176470588,0,0,0,17,24.781745050444524,41.3
00-0027939,QB,2021,CAR,17,17,8,0.8816176470588235,0,0,0,17,243.77728034633856,84.3
00-0027948,QB,2021,TB,17,17,6,0.4150326797385621,0,0,0,17,9.49335315597546,1.8999999999999997
00-0027973,QB,2021,CHI,17,17,8,0.8952205882352942,0,0,0,17,219.58958328414758,80.1
00-0028118,QB,2021,HOU,17,17,6,0.4169117647058824,0,0,0,17,37.021121727964896,81.69999999999999
00-0028986,QB,2021,CLE,17,17,7,0.5307904411764706,0,0,0,17,40.33980248890583,28.599999999999998
00-0029263,QB,2021,SEA,17,17,14,1.0,0,0,0,17,312.18826480129206,240.7
00-0029567,QB,2021,CHI,17,17,1,0.49468954248366015,0,0,0,17,81.98278896689055,14.8
00-0029604,QB,2021,MIN,17,17,16,0.7691993464052288,0,0,0,17,248.50294520012494,300.3
00-0029701,QB,2021,TEN,17,17,17,0.9168198529411764,0,0,0,17,281.84523475279167,270.3
00-0030520,QB,2021,NYG,17,17,6,0.30357142857142855,0,0,0,17,55.05441026125972,30.900000000000002
00-0030565,QB,2021,SEA,17,17,4,0.3629201680672268,0,0,0,17,8.06161633564115,54.300000000000004
00-0031237,QB,2021,DEN,17,17,14,0.6090686274509803,0,0,0,17,127.63671331588148,200.79999999999998
00-0031280,QB,2021,LV,17,17,17,0.974264705882353,0,0,0,17,279.0140375186198,256.6
00-0031345,QB,2021,SF,17,17,15,0.42857142857142855,0,0,0,17,96.79145993411684,225.49999999999997
00-0031395,QB,2021,WAS,17,17,1,0.14583333333333334,0,0,0,17,19.838387694848976,7.8
00-0031503,QB,2021,NO,17,17,7,0.7990196078431372,0,0,0,17,27.463843934290026,117.3
00-0031800,QB,2021,WAS,17,17,16,0.18504901960784315,0,0,0,17,33.41878773679158,220.7
00-0032156,QB,2021,NO,17,17,6,0.421875,0,0,0,17,28.818200513337278,90.2
