player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0023459,QB,2023,NYJ,17,17,1,0.8397491349480969,1,0,0,16,201.69779540315022,0.0
00-0026158,QB,2023,CLE,17,17,6,0.758578431372549,5,0,0,12,107.04664021377832,112.5
00-0026498,QB,2023,LA,17,17,16,0.8458508403361344,15,0,0,2,246.8581931354169,262.0
00-0026625,QB,2023,LV,17,17,3,0.3290441176470588,2,1,0,14,23.350910051392805,5.0
00-0027948,QB,2023,KC,17,17,2,0.37700534759358284,2,0,0,15,7.181258646032651,5.9
00-0027973,QB,2023,CAR,17,17,3,0.8538602941176472,2,1,0,14,150.1409950986272,23.6
00-0028118,QB,2023,NYG,17,17,11,0.3915441176470589,10,1,0,6,99.82981265999307,87.30000000000001
00-0028986,QB,2023,HOU,17,17,2,0.4783088235294118,2,0,0,15,28.021407617562176,9.8
00-0029263,QB,2023,DEN,17,17,15,0.9732620320855616,15,0,0,2,277.49366132843204,252.9
00-0029604,QB,2023,MIN,17,17,8,0.8058155080213903,8,0,0,9,215.62814659700683,149.9
00-0029701,QB,2023,TEN,17,17,9,0.9040441176470587,9,0,0,8,220.3267731942629,80.0
00-0030533,QB,2023,JAX,17,17,1,0.19178921568627452,1,0,0,16,10.18017589785243,-0.3
00-0030565,QB,2023,SEA,17,17,15,0.4195261437908497,15,0,0,2,220.36597116505652,223.40000000000003
00-0031237,QB,2023,DET,17,17,1,0.5965073529411764,1,0,0,16,39.928433709630895,-0.2
00-0031280,QB,2023,NO,17,17,17,0.9669117647058825,17,0,0,0,250.55834719662465,237.1
00-0031288,QB,2023,CIN,17,17,2,0.19264705882352942,2,0,0,15,8.23364562309943,0.8
00-0031345,QB,2023,LV,17,17,7,0.5024509803921569,7,0,0,10,139.73919628117648,62.1
00-0031503,QB,2023,NO,17,17,7,0.6727941176470589,6,1,0,10,92.99987187512498,11.9
00-0031800,QB,2023,ATL,17,17,5,0.4051470588235294,5,0,0,12,109.10609359941175,66.0
00-0032156,QB,2023,NYJ,17,17,5,0.3596813725490196,5,0,0,12,63.36082233364567,26.9
00-0032268,QB,2023,PHI,17,17,3,0.6810661764705882,2,1,0,14,148.21685433873816,11.7
00-0032436,QB,2023,CLE,17,17,1,0.3373161764705882,1,0,0,16,24.4135236039157,13.9
00-0032950,QB,2023,LA,17,17,2,0.8114495798319327,1,1,0,15,140.5110206185821,24.1
00-0033077,QB,2023,DAL,17,17,18,0.8765756302521008,17,0,0,0,278.5413950992618,367.6
00-0033106,QB,2023,DET,17,17,20,0.8860294117647058,17,0,0,0,275.0811830452234,334.70000000000005
00-0033119,QB,2023,WAS,17,17,3,0.6649159663865546,2,1,0,14,68.03070730892475,22.9
00-0033275,QB,2023,CLE,17,17,6,0.2990196078431373,5,1,0,11,41.045535119087496,19.9
00-0033319,QB,2023,MIN,17,17,5,0.2963235294117647,5,0,0,12,58.068142927672575,66.60000000000001
00-0033357,QB,2023,NO,17,17,16,0.9294117647058824,16,0,0,1,83.64710553359755,143.5
00-0033537,QB,2023,CLE,17,17,6,0.7580882352941176,6,0,0,11,229.2951463200594,80.9
00-0033662,QB,2023,DAL,17,17,7,0.22647058823529412,7,0,0,10,16.321740701575653,3.2
00-0033869,QB,2023,PIT,17,17,5,0.673406862745098,5,0,0,12,134.46316144234282,46.699999999999996
00-0033873,QB,2023,KC,17,17,20,0.8431372549019608,16,0,0,1,323.56966589662375,358.20000000000005
00-0033936,QB,2023,JAX,17,17,7,0.29558823529411765,6,1,0,10,20.220192432664167,21.5
00-0033949,QB,2023,ARI,17,17,13,0.16299019607843138,12,0,0,5,164.9650409803612,196.5
