player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0023459,QB,2023,NYJ,1,1,1,0.8397491349480969,1,0,0,0,16.248790486792405,0.0
00-0026158,QB,2023,CLE,6,6,5,0.758578431372549,5,0,0,1,51.854708021540795,98.9
00-0026498,QB,2023,LA,15,15,15,0.8458508403361344,15,0,0,0,233.36405042043432,239.29999999999998
00-0026625,QB,2023,LV,7,7,3,0.3335084033613445,2,1,0,4,14.453317382593841,5.0
00-0027948,QB,2023,KC,17,17,2,0.37700534759358284,2,0,0,15,4.853213442568897,5.9
00-0027973,QB,2023,CAR,17,17,3,0.8538602941176472,2,1,0,14,133.88556818592556,23.6
00-0028118,QB,2023,NYG,13,13,11,0.3915441176470589,10,1,0,2,78.27642082512487,87.30000000000001
00-0028986,QB,2023,HOU,3,3,2,0.4783088235294118,2,0,0,1,8.368462038585816,9.8
00-0029263,QB,2023,DEN,17,17,15,0.9732620320855616,15,0,0,2,268.695152962306,252.9
00-0029604,QB,2023,MIN,8,8,8,0.8058155080213903,8,0,0,0,130.86310292461792,149.9
00-0029701,QB,2023,TEN,14,14,9,0.9040441176470587,9,0,0,5,186.6066177418035,80.0
00-0030533,QB,2023,JAX,4,4,1,0.19178921568627452,1,0,0,3,2.9713100397251218,-0.3
00-0030565,QB,2023,SEA,16,16,15,0.4195261437908497,15,0,0,1,220.37411679726793,223.40000000000003
00-0031237,QB,2023,DET,17,17,1,0.5965073529411764,1,0,0,16,21.644471203339744,-0.2
00-0031280,QB,2023,NO,17,17,17,0.9669117647058825,17,0,0,0,267.6836603618174,237.1
00-0031288,QB,2023,CIN,7,7,2,0.18137254901960786,2,0,0,5,4.280562674882599,0.8
00-0031345,QB,2023,LV,15,15,7,0.5163398692810458,7,0,0,8,116.10119044518937,62.1
00-0031503,QB,2023,NO,17,17,7,0.6727941176470589,6,1,0,10,59.80616900551746,11.9
00-0031800,QB,2023,ATL,16,16,5,0.4051470588235294,5,0,0,11,67.38290903105596,66.0
00-0032156,QB,2023,NYJ,7,7,5,0.3596813725490196,5,0,0,2,24.665755578734192,26.9
00-0032268,QB,2023,PHI,17,17,3,0.6810661764705882,2,1,0,14,117.96830295943889,11.7
00-0032436,QB,2023,CLE,2,2,1,0.3373161764705882,1,0,0,1,7.709429507124203,13.9
00-0032764,QB,2023,TEN,17,17,17,0.9065126050420168,17,0,0,0,278.9031789378236,246.7
00-0032950,QB,2023,LA,8,8,2,0.8114495798319327,1,1,0,6,28.347058481458852,24.1
00-0033077,QB,2023,DAL,17,17,17,0.8765756302521008,17,0,0,0,300.80676221970134,339.0
00-0033106,QB,2023,DET,17,17,17,0.8860294117647058,17,0,0,0,290.6949438310275,284.90000000000003
00-0033119,QB,2023,WAS,15,15,3,0.6649159663865546,2,1,0,12,35.27089751656095,22.9
00-0033275,QB,2023,CLE,11,11,6,0.2990196078431373,5,1,0,5,30.737240307228465,19.9
00-0033280,QB,2023,SF,16,16,16,0.7665441176470589,16,0,0,0,351.62967191285884,391.29999999999995
00-0033319,QB,2023,MIN,11,11,5,0.2963235294117647,5,0,0,6,54.710211220636296,66.60000000000001
00-0033357,QB,2023,NO,16,16,16,0.7843137254901961,16,0,0,0,127.49568512088024,143.5
00-0033537,QB,2023,CLE,6,6,6,0.7580882352941176,6,0,0,0,111.91064985884213,80.9
00-0033662,QB,2023,DAL,17,17,7,0.22647058823529412,7,0,0,10,16.604449112417903,3.2
00-0033869,QB,2023,PIT,16,16,5,0.673406862745098,5,0,0,11,97.65403563640002,46.699999999999996
00-0033873,QB,2023,KC,16,16,16,0.8431372549019608,16,0,0,0,332.96076380041643,280.1
00-0033908,QB,2023,LA,12,12,12,0.8186274509803922,12,0,0,0,172.36762016230585,162.4
00-0033936,QB,2023,JAX,17,17,7,0.30808823529411766,6,1,0,10,16.588068359841518,21.5
00-0033949,QB,2023,MIN,14,14,13,0.16299019607843138,13,0,0,1,169.11209074535387,196.5
00-0033958,QB,2023,CHI,8,8,2,0.16838235294117648,1,1,0,6,8.796165635924885,-0.4
00-0034177,QB,2023,NYJ,11,11,3,0.2601102941176471,3,0,0,8,17.865990322128678,10.9
00-0034348,QB,2023,DEN,16,16,16,0.7889705882352941,16,0,0,0,198.06109401201488,190.20000000000002
00-0034401,QB,2023,MIA,17,17,6,0.23529411764705882,6,0,0,11,37.25482139127219,2.0999999999999988
00-0034438,QB,2023,ATL,1,1,1,0.23529411764705885,1,0,0,0,2.855260863055975,-0.3
00-0034577,QB,2023,BUF,17,17,7,0.28161764705882353,6,1,0,10,23.28902536578523,-1.2999999999999998
00-0034771,QB,2023,PIT,5,5,4,0.3455882352941177,4,0,0,1,38.91167071911278,39.6
00-0034796,QB,2023,BAL,16,16,16,0.8823529411764707,16,0,0,0,290.5976576971771,329.2
00-0034827,QB,2023,CHI,17,17,17,0.975,17,0,0,0,218.16499884193775,286.5
00-0034855,QB,2023,TB,17,17,17,0.8808823529411764,17,0,0,0,251.66067329899252,270.0
00-0034857,QB,2023,BUF,17,17,17,0.95,17,0,0,0,368.9858060017849,388.90000000000003
00-0034869,QB,2023,SF,17,17,10,0.6867647058823529,10,0,0,7,90.40865918960489,23.299999999999997
00-0034955,QB,2023,LA,13,13,2,0.16053921568627452,2,0,0,11,16.407668836249943,6.8
00-0035100,QB,2023,CIN,17,17,9,0.88,9,0,0,8,126.01231610383962,142.5
00-0035228,QB,2023,ARI,8,8,8,0.8823529411764706,8,0,0,0,111.379779652676,144.4
00-0035250,QB,2023,HOU,17,17,17,0.9411764705882353,17,0,0,0,160.54482714815742,167.3
00-0035264,QB,2023,DEN,17,17,3,0.2610294117647059,2,1,0,14,40.07887768650131,26.7
00-0035282,QB,2023,LAC,17,17,5,0.0625,5,0,0,12,51.2403378962593,67.6
00-0035289,QB,2023,IND,17,17,16,0.5064338235294118,16,0,0,1,188.1995204084485,192.2
00-0035645,QB,2023,NYG,12,12,6,0.5514705882352942,2,4,0,6,24.42416571881258,-1.0
00-0035685,QB,2023,DET,14,14,14,0.911764705882353,14,0,0,0,255.52515126163533,205.2
00-0035704,QB,2023,SEA,17,17,4,0.49264705882352944,4,0,0,13,60.12729504983955,29.1
00-0035710,QB,2023,NYG,6,6,6,0.8336397058823529,6,0,0,0,93.19087379102636,57.00000000000001
00-0035993,QB,2023,BAL,15,15,5,0.3333333333333333,5,0,0,10,38.709558574054974,25.6
00-0036212,QB,2023,MIA,17,17,17,0.7181372549019608,17,0,0,0,244.20405065626773,272.40000000000003
00-0036259,QB,2023,SF,13,13,13,1.0,12,1,0,0,86.2249416516854,51.5
00-0036264,QB,2023,GB,17,17,17,0.29411764705882354,17,0,0,0,261.65322568936733,315.1
00-0036290,QB,2023,CHI,17,17,17,1.0,15,2,0,0,178.04833148112067,181.1
00-0036355,QB,2023,LAC,13,13,13,0.9791666666666666,13,0,0,0,253.3323788734322,232.20000000000002
00-0036389,QB,2023,PHI,17,17,17,0.9595588235294118,17,0,0,0,362.8643264341872,356.90000000000003
00-0036442,QB,2023,CIN,10,10,10,0.875,10,0,0,0,169.28481076539884,147.2
