player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0024243,TE,2024,CHI,17,17,17,0.8858251633986929,1,16,0,0,10.761715639488003,1.2
00-0030061,TE,2024,WAS,17,17,17,0.8582887700534759,17,0,0,0,142.61538426941755,173.4
00-0030506,TE,2024,KC,16,16,16,0.9941176470588236,16,0,0,0,217.74715990291182,195.4
00-0031299,TE,2024,CAR,4,4,3,0.7144607843137254,1,2,0,1,13.167780004975429,0.0
00-0031484,TE,2024,NYG,17,17,17,0.8915441176470589,4,13,0,0,8.354386802083203,12.0
00-0031585,TE,2024,PIT,12,12,12,0.7267156862745098,6,6,0,0,25.14957407608255,16.0
00-0031690,TE,2024,LAC,9,9,9,0.7373949579831933,4,5,0,0,8.525818984001846,2.9
00-0032134,TE,2024,PHI,7,7,7,0.7230392156862745,0,7,0,0,8.09755801988503,0.0
00-0032141,TE,2024,CLE,8,8,8,0.6670751633986928,1,7,0,0,5.347593257348855,1.7
00-0032392,TE,2024,NE,17,17,17,0.9545036764705882,17,0,0,0,79.38164241426047,108.60000000000001
00-0032394,TE,2024,TEN,17,17,17,0.7196691176470589,12,5,0,0,28.543302428743765,48.50000000000001
00-0033090,TE,2024,NE,16,16,16,0.7899816176470588,16,0,0,0,157.22812130430432,145.4
00-0033110,TE,2024,LA,3,3,3,0.9848345588235294,3,0,0,0,18.082652416490266,26.6
00-0033217,TE,2024,IND,17,17,17,0.9215686274509803,12,5,0,0,48.52493790919548,32.699999999999996
00-0033246,TE,2024,MIN,17,17,17,0.6234243697478992,13,4,0,0,50.575149123711725,45.2
00-0033288,TE,2024,SF,15,15,15,0.9196428571428571,15,0,0,0,215.3134505402918,236.59999999999994
00-0033439,TE,2024,SEA,15,15,15,0.7101715686274509,8,7,0,0,28.36313120227309,12.500000000000002
00-0033455,TE,2024,KC,7,7,6,0.7426470588235294,0,6,0,1,6.195728350514132,0.0
00-0033576,TE,2024,SF,17,17,17,0.6691176470588235,8,9,0,0,32.77490455304698,26.7
00-0033757,TE,2024,MIN,5,5,5,0.8075980392156863,0,5,0,0,4.6145045712480375,0.0
00-0033858,TE,2024,MIA,17,17,17,0.9311974789915967,17,0,0,0,164.9600596429429,222.3
00-0033881,TE,2024,JAX,9,9,9,0.8581932773109244,9,0,0,0,95.39076981953575,87.49999999999999
00-0033885,TE,2024,CLE,11,11,11,0.8424369747899159,11,0,0,0,124.21723008117245,144.5
00-0033895,TE,2024,CHI,17,17,17,0.9306722689075632,9,8,0,0,47.59613046088115,11.600000000000001
00-0034073,TE,2024,ATL,17,17,14,0.7886029411764706,1,13,0,3,5.737344885809708,1.5
00-0034159,TE,2024,LAC,15,15,15,0.7156862745098039,15,0,0,0,83.15274000171503,110.10000000000001
00-0034270,TE,2024,NYJ,16,16,16,1.0,16,0,0,0,114.58277479978005,119.9
00-0034351,TE,2024,PHI,10,10,10,0.8890931372549021,10,0,0,0,96.54796729091629,103.6
00-0034364,TE,2024,CLE,17,17,17,0.9001225490196078,16,1,0,0,62.06239157037675,91.0
00-0034365,TE,2024,CAR,5,5,5,0.9405637254901961,3,2,0,0,12.775895856569981,3.7
00-0034383,TE,2024,HOU,17,17,17,0.9509803921568628,17,0,0,0,166.64196412962679,118.2
00-0034613,TE,2024,CIN,12,12,11,0.5125000000000001,9,2,0,1,34.12904192752316,38.5
00-0034753,TE,2024,BAL,17,17,17,0.9215686274509806,17,0,0,0,149.63244269377213,188.8
00-0034798,TE,2024,MIA,17,17,17,0.9791666666666666,13,4,0,0,43.558010927087494,14.3
00-0034829,TE,2024,CIN,17,17,17,0.9895833333333334,16,1,0,0,123.56916399011963,141.5
