player_id,season,week,team,position,predicted_share_rushing_yards,predicted_team_rushing_yards,predicted_rushing_yards,predicted_share_receiving_yards,predicted_team_receiving_yards,predicted_receiving_yards,predicted_share_receptions,predicted_team_receptions,predicted_receptions,predicted_share_receiving_tds,predicted_team_receiving_tds,predicted_receiving_tds,predicted_share_rushing_tds,predicted_team_rushing_tds,predicted_rushing_tds,predicted_share_passing_yards,predicted_team_passing_yards,predicted_passing_yards,predicted_share_passing_tds,predicted_team_passing_tds,predicted_passing_tds,predicted_share_interceptions,predicted_team_interceptions,predicted_interceptions,predicted_ppr,rushing_yards,receiving_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,actual_ppr,model_version,artifact_schema_version
00-0022942,2025,15,IND,QB,0.0,133.95549039142566,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.3800146265264612,0.0,0.0,137.9588375204142,0.0,0.0,0.8317453861236572,0.0,0.0,0.5574204428533603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,1.0,1.0,6.8,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0022942,2025,16,IND,QB,0.0,86.08449169861476,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8749475205097844,0.0,1.0,280.9072579408756,280.9072579408756,0.9874999999999999,1.671946406364441,1.6510470762848852,1.0,0.963191964011207,0.963191964011207,15.91,0.0,0.0,0.0,0.0,0.0,277.0,2.0,1.0,17.08,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0022942,2025,17,IND,QB,0.0,96.29655205993708,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.3042626193223232,0.0,1.0,239.80921329472648,239.80921329472648,1.0,1.2331395149230957,1.2331395149230957,1.0,0.7508900029795273,0.7508900029795273,13.02,0.0,0.0,0.0,0.0,0.0,147.0,1.0,1.0,7.88,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0022942,2025,18,IND,QB,0.0,122.48295836508127,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.9640408196985782,0.0,1.0,248.4634374478663,248.4634374478663,1.0,1.7882241010665894,1.7882241010665894,0.8333333333333334,0.5809352166545783,0.4841126805454819,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,1,PIT,QB,0.13419565429241462,86.25071872753968,11.574471632833205,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5494045236766898,0.0,0.9645305336988907,212.52768882040223,204.98944512373436,0.7890271493212668,1.1586107015609741,0.9141752990257684,0.4117647058823529,0.8109282980631428,0.33391165214364704,12.35,0.0,0.0,0.0,0.0,0.0,244.0,4.0,0.0,25.76,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,2,PIT,QB,0.13419565429241462,89.33483745216738,11.988346963000108,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.7962582496106313,0.0,0.9645305336988907,226.2023636905705,218.17908657441654,0.7890271493212668,1.7166111469268799,1.3544527997528264,0.4117647058823529,0.6787509683976833,0.2794856928696343,14.78,3.0,0.0,0.0,0.0,0.0,203.0,1.0,2.0,8.42,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,3,PIT,QB,0.1324592408508061,92.37237528786162,12.23557470621591,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.473923815385744,0.0,0.9645305336988907,152.76885837904263,147.35022850490824,0.7890271493212668,0.8682591319084167,0.6850800277218558,0.4117647058823529,0.3997738759237879,0.16461277243920677,9.53,3.0,0.0,0.0,0.0,0.0,139.0,2.0,1.0,11.86,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,4,PIT,QB,0.029040404040404044,122.76194583037345,3.5650565077002394,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.7406852432059847,0.0,0.9813953488372092,194.37157435300207,190.75535901620202,1.0,2.241727590560913,2.241727590560913,0.6666666666666666,0.059621113102148224,0.03974740873476548,16.87,10.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,13.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,6,PIT,QB,0.05147036869695465,91.91119677502158,4.73070318538871,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.4085340809874052,0.0,0.9813953488372092,197.05102549567874,193.38495990506146,1.0,1.1645699739456177,1.1645699739456177,0.6666666666666666,0.5565860761771353,0.3710573841180902,12.12,1.0,0.0,0.0,0.0,0.0,235.0,2.0,0.0,17.5,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,7,PIT,QB,0.0435475051264525,88.487558056079,3.8534123880743634,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.48978610096689806,0.0,1.0,247.8229140083949,247.8229140083949,1.0,2.1437838077545166,2.1437838077545166,0.3333333333333333,0.6569869369669749,0.21899564565565827,18.44,6.0,0.0,0.0,0.0,0.0,249.0,4.0,2.0,22.56,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,8,PIT,QB,0.04200143215180809,77.5542032889065,3.2573876075265384,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.05891215868014965,0.0,1.0,232.8625193588737,232.8625193588737,1.0,1.6211837530136108,1.6211837530136108,0.3333333333333333,1.0037353037962644,0.3345784345987548,15.46,0.0,0.0,0.0,0.0,0.0,219.0,2.0,0.0,16.76,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,9,PIT,QB,0.01693877551020408,95.0750942645968,1.6104556783594968,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.254145255763194,0.0,1.0,266.35524917340376,266.35524917340376,1.0,2.5694847106933594,2.5694847106933594,0.3333333333333333,0.27083502093708256,0.09027834031236084,20.91,1.0,0.0,0.0,0.0,0.0,203.0,1.0,0.0,12.22,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,10,PIT,QB,0.02193877551020408,64.45194606739493,1.413996775968358,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.26094330279809264,0.0,1.0,202.0595752564939,202.0595752564939,1.0,1.1036654710769653,1.1036654710769653,0.3333333333333333,0.8980122998511415,0.2993374332837138,12.04,0.0,0.0,0.0,0.0,0.0,161.0,1.0,2.0,6.44,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
