season,position,n_player_weeks,pct_default_depth_chart_rank
2013,QB,1024,0.008
2013,RB,2030,0.158
2013,TE,1495,0.209
2013,WR,2760,0.195
2014,QB,1024,0.0
2014,RB,1996,0.166
2014,TE,1501,0.22
2014,WR,2847,0.164
2015,QB,1024,0.003
2015,RB,1997,0.16
2015,TE,1496,0.182
2015,WR,2874,0.157
2016,QB,1024,0.001
2016,RB,2030,0.137
2016,TE,1529,0.144
2016,WR,3002,0.106
2017,QB,1024,0.0
2017,RB,2048,0.084
2017,TE,1536,0.143
2017,WR,3072,0.076
2018,QB,1024,0.002
2018,RB,2048,0.117
2018,TE,1536,0.121
2018,WR,3072,0.065
2019,QB,1024,0.0
2019,RB,2048,0.123
2019,TE,1536,0.13
2019,WR,3072,0.053
2020,QB,1024,0.0
2020,RB,2048,0.169
2020,TE,1536,0.148
2020,WR,3072,0.027
2021,QB,1088,0.0
2021,RB,2176,0.206
2021,TE,1632,0.081
2021,WR,3264,0.052
2022,QB,1084,0.0
2022,RB,2168,0.208
2022,TE,1626,0.153
2022,WR,3252,0.053
2023,QB,1088,0.0
2023,RB,2171,0.225
2023,TE,1632,0.17
2023,WR,3264,0.029
2024,QB,1088,0.007
2024,RB,2176,0.174
2024,TE,1632,0.146
2024,WR,3264,0.025
2025,QB,1088,0.0
2025,RB,2176,0.214
2025,TE,1632,0.279
2025,WR,3264,0.293
