team,season,week,position,slot,slot_rank,player_id,depth_chart_rank,snap_share_s2d
ARI,2013,1,QB,QB1,1,00-0021429,1.0,
ARI,2013,1,QB,QB2,2,00-0025430,2.0,
ARI,2013,1,RB,RB1,1,00-0026163,1.0,
ARI,2013,1,RB,RB2,2,00-0027346,2.0,
ARI,2013,1,RB,RB3,3,00-0030282,2.0,
ARI,2013,1,RB,RB4,4,00-0030287,2.0,
ARI,2013,1,TE,TE1,1,00-0027825,1.0,
ARI,2013,1,TE,TE2,2,00-0028007,1.0,
ARI,2013,1,TE,TE3,3,00-0026757,2.0,
ARI,2013,1,WR,WR1,1,00-0022921,1.0,
ARI,2013,1,WR,WR2,2,00-0029638,1.0,
ARI,2013,1,WR,WR3,3,00-0027691,2.0,
ARI,2013,1,WR,WR4,4,00-0030300,2.0,
ARI,2013,2,QB,QB1,1,00-0021429,1.0,1.0
ARI,2013,2,QB,QB2,2,00-0025430,2.0,
ARI,2013,2,RB,RB1,1,00-0026163,1.0,0.49295774647887325
ARI,2013,2,RB,RB2,2,00-0027346,2.0,0.38028169014084506
ARI,2013,2,RB,RB3,3,00-0030287,2.0,0.11267605633802817
ARI,2013,2,RB,RB4,4,00-0030282,2.0,
ARI,2013,2,TE,TE1,1,00-0027825,1.0,0.8309859154929577
ARI,2013,2,TE,TE2,2,00-0028007,1.0,
ARI,2013,2,TE,TE3,3,00-0026757,2.0,0.2535211267605634
ARI,2013,2,WR,WR1,1,00-0022921,1.0,1.0
ARI,2013,2,WR,WR2,2,00-0029638,1.0,0.9436619718309859
ARI,2013,2,WR,WR3,3,00-0027691,2.0,0.7183098591549296
ARI,2013,2,WR,WR4,4,00-0030300,2.0,0.16901408450704225
ARI,2013,2,WR,WR5,5,00-0028606,3.0,
ARI,2013,3,QB,QB1,1,00-0021429,1.0,1.0
ARI,2013,3,QB,QB2,2,00-0025430,2.0,
ARI,2013,3,RB,RB1,1,00-0026163,1.0,0.5
ARI,2013,3,RB,RB2,2,00-0027346,2.0,0.30985915492957744
ARI,2013,3,RB,RB3,3,00-0030287,2.0,0.18309859154929578
ARI,2013,3,RB,RB4,4,00-0030282,3.0,0.07042253521126761
ARI,2013,3,TE,TE1,1,00-0027825,1.0,0.8309859154929577
ARI,2013,3,TE,TE2,2,00-0028007,1.0,
ARI,2013,3,TE,TE3,3,00-0026757,2.0,0.21830985915492956
ARI,2013,3,WR,WR1,1,00-0029638,1.0,0.9436619718309859
ARI,2013,3,WR,WR2,2,00-0022921,1.0,0.823943661971831
ARI,2013,3,WR,WR3,3,00-0027691,2.0,0.7323943661971831
ARI,2013,3,WR,WR4,4,00-0030300,2.0,0.176056338028169
ARI,2013,3,WR,WR5,5,00-0028606,3.0,0.23943661971830985
ARI,2013,4,QB,QB1,1,00-0021429,1.0,1.0
ARI,2013,4,QB,QB2,2,00-0025430,2.0,
ARI,2013,4,RB,RB1,1,00-0026163,1.0,0.46551724137931033
ARI,2013,4,RB,RB2,2,00-0027346,2.0,0.31002104581512063
ARI,2013,4,RB,RB3,3,00-0030287,2.0,0.277238141492634
ARI,2013,4,RB,RB4,4,00-0030282,3.0,0.043831957260806215
ARI,2013,4,TE,TE1,1,00-0028007,1.0,0.7068965517241379
ARI,2013,4,TE,TE2,2,00-0027825,1.0,0.6516917597539259
ARI,2013,4,TE,TE3,3,00-0026757,2.0,0.17427553828719444
ARI,2013,4,WR,WR1,1,00-0029638,1.0,0.9451999352436458
ARI,2013,4,WR,WR2,2,00-0022921,1.0,0.8768819815444391
ARI,2013,4,WR,WR3,3,00-0027691,2.0,0.666423830338352
ARI,2013,4,WR,WR4,4,00-0030300,2.0,0.16334790351303222
ARI,2013,4,WR,WR5,5,00-0028606,3.0,0.23943661971830985
ARI,2013,5,QB,QB1,1,00-0021429,1.0,1.0
ARI,2013,5,QB,QB2,2,00-0025430,2.0,
ARI,2013,5,RB,RB1,1,00-0026163,1.0,0.514460511679644
ARI,2013,5,RB,RB2,2,00-0030287,2.0,0.28857376740979807
ARI,2013,5,RB,RB3,3,00-0027346,2.0,0.2405803004903727
ARI,2013,5,RB,RB4,4,00-0030282,3.0,0.045350337098602
ARI,2013,5,TE,TE1,1,00-0028007,1.0,0.7728031145717464
ARI,2013,5,TE,TE2,2,00-0027825,1.0,0.5976397875573799
ARI,2013,5,TE,TE3,3,00-0026757,2.0,0.1428034279089442
ARI,2013,5,WR,WR1,1,00-0029638,1.0,0.9185773707875731
