player_id,season,week,team,position
00-0021570,2014,2,SF,WR
00-0021570,2014,15,SF,WR
00-0021999,2013,5,DET,WR
00-0021999,2013,8,DET,WR
00-0022054,2013,14,TEN,TE
00-0022127,2020,1,LV,TE
00-0022127,2020,2,LV,TE
00-0022127,2020,3,LV,TE
00-0022127,2020,4,LV,TE
00-0022127,2020,5,LV,TE
00-0022127,2020,7,LV,TE
00-0022127,2020,8,LV,TE
00-0022127,2020,9,LV,TE
00-0022127,2020,10,LV,TE
00-0022127,2020,11,LV,TE
00-0022127,2020,12,LV,TE
00-0022127,2020,13,LV,TE
00-0022127,2020,14,LV,TE
00-0022127,2020,15,LV,TE
00-0022127,2020,16,LV,TE
00-0022127,2020,17,LV,TE
00-0022943,2019,8,NE,TE
00-0022943,2019,9,NE,TE
00-0022943,2019,11,NE,TE
00-0022943,2019,12,NE,TE
00-0022999,2017,2,NO,RB
00-0023437,2014,2,HOU,RB
00-0023437,2014,3,HOU,RB
00-0023437,2014,4,HOU,RB
00-0023437,2014,6,LAC,RB
00-0023500,2022,3,SF,RB
00-0023500,2022,4,SF,RB
00-0023500,2022,5,SF,RB
00-0023500,2022,6,SF,RB
00-0023500,2022,7,SF,RB
00-0023500,2022,8,SF,RB
00-0023500,2022,10,SF,RB
00-0023500,2022,11,SF,RB
00-0023500,2022,12,SF,RB
00-0023500,2022,13,SF,RB
00-0023500,2022,14,SF,RB
00-0023500,2022,15,SF,RB
00-0023500,2022,16,SF,RB
00-0023500,2022,17,SF,RB
00-0023500,2022,18,SF,RB
00-0023506,2013,1,CIN,TE
00-0023506,2013,2,CIN,TE
00-0023506,2013,3,CIN,TE
00-0023506,2013,4,CIN,TE
00-0023506,2013,5,CIN,TE
00-0023506,2013,6,CIN,TE
00-0023545,2013,2,NYG,RB
00-0023545,2013,3,NYG,RB
00-0023564,2019,9,PHI,RB
00-0024103,2013,10,DET,RB
00-0024103,2013,11,DET,RB
00-0024103,2014,3,DET,RB
00-0024103,2014,4,DET,RB
00-0024204,2015,17,SEA,RB
00-0024204,2016,1,SEA,RB
00-0024204,2016,2,SEA,RB
00-0024217,2014,6,DET,RB
00-0024221,2019,9,WAS,TE
00-0024243,2024,4,CHI,TE
00-0024243,2024,5,CHI,TE
00-0024243,2025,9,DEN,TE
00-0024243,2025,10,DEN,TE
00-0024243,2025,11,DEN,TE
00-0024243,2025,13,DEN,TE
00-0024243,2025,14,DEN,TE
00-0024243,2025,15,DEN,TE
00-0024243,2025,16,DEN,TE
00-0024243,2025,17,DEN,TE
00-0024243,2025,18,DEN,TE
00-0024315,2013,8,SEA,RB
00-0024315,2013,9,SEA,RB
00-0024332,2013,1,NE,RB
00-0024332,2013,2,NE,RB
00-0024334,2018,11,NO,WR
00-0024334,2018,12,NO,WR
00-0024334,2018,13,NO,WR
00-0024334,2018,14,NO,WR
00-0024334,2018,15,NO,WR
00-0024334,2018,16,NO,WR
00-0024334,2018,17,NO,WR
00-0024813,2014,1,NO,RB
00-0024813,2014,2,NO,RB
00-0024813,2014,3,NO,RB
00-0024813,2014,4,NO,RB
00-0024813,2014,5,NO,RB
00-0024813,2014,7,NO,RB
00-0024813,2014,8,NO,RB
00-0024813,2014,9,NO,RB
00-0024813,2014,10,NO,RB
00-0024813,2014,11,NO,RB
00-0024813,2014,12,NO,RB
00-0024813,2015,14,WAS,RB
00-0024813,2015,15,WAS,RB
00-0024813,2015,17,WAS,RB
00-0025394,2020,2,DET,RB
00-0025399,2015,13,SEA,RB
00-0025399,2015,14,SEA,RB
00-0025399,2015,15,SEA,RB
00-0025399,2015,16,SEA,RB
00-0025399,2015,17,SEA,RB
00-0025410,2015,14,CLE,WR
00-0025410,2015,17,CLE,WR
00-0025410,2016,1,CLE,WR
00-0025410,2016,2,CLE,WR
00-0025418,2020,17,SEA,TE
00-0025439,2013,8,TB,RB
00-0025439,2013,9,TB,RB
00-0025439,2014,11,NO,RB
00-0025464,2013,14,PIT,TE
00-0025464,2013,15,PIT,TE
00-0025631,2013,1,ATL,RB
00-0025631,2013,2,ATL,RB
00-0025631,2013,4,ATL,RB
00-0025631,2013,5,ATL,RB
00-0025631,2013,7,ATL,RB
00-0025631,2013,8,ATL,RB
00-0025631,2013,9,ATL,RB
00-0025631,2013,10,ATL,RB
00-0025631,2013,11,ATL,RB
00-0025631,2013,12,ATL,RB
00-0025631,2013,13,ATL,RB
00-0025631,2013,14,ATL,RB
00-0025631,2013,15,ATL,RB
00-0025631,2013,16,ATL,RB
00-0025631,2013,17,ATL,RB
00-0025701,2013,1,TEN,RB
00-0025701,2013,2,TEN,RB
00-0025701,2013,3,TEN,RB
00-0025701,2013,4,TEN,RB
00-0025701,2013,5,TEN,RB
00-0025701,2013,6,TEN,RB
00-0025701,2013,7,TEN,RB
00-0025701,2013,13,TEN,RB
00-0025701,2013,15,TEN,RB
00-0025701,2013,16,TEN,RB
00-0025701,2013,17,TEN,RB
00-0025701,2014,2,TEN,TE
00-0025701,2014,3,TEN,TE
00-0025701,2014,4,TEN,TE
00-0025701,2014,5,TEN,TE
00-0025701,2014,6,TEN,TE
00-0025701,2014,7,TEN,TE
00-0025701,2014,8,TEN,TE
00-0025701,2014,10,TEN,TE
00-0025701,2014,11,TEN,TE
00-0025701,2014,12,TEN,TE
00-0025701,2014,13,TEN,TE
00-0026008,2013,2,NE,TE
00-0026008,2013,3,NE,TE
00-0026008,2013,4,NE,TE
00-0026008,2013,13,NE,TE
00-0026008,2014,16,TEN,TE
00-0026008,2014,17,TEN,TE
00-0026008,2016,1,DET,TE
00-0026008,2016,9,DET,TE
00-0026008,2016,11,DET,TE
00-0026008,2016,12,DET,TE
00-0026008,2016,13,DET,TE
