player_id,season,week,team,position,fold,rushing_yards,receiving_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,actual_ppr,negative_yards,off_position_stat
00-0023459,2023,1,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,2,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,3,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,4,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,5,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,6,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,8,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,9,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,10,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,11,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,12,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,13,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,14,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,15,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,16,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,17,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0023459,2023,18,NYJ,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,1,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,2,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,3,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,4,CHI,TE,0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,False,False
00-0024243,2023,5,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,6,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,7,CHI,TE,0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6,False,False
00-0024243,2023,8,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,9,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,10,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,11,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,12,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,14,CHI,TE,0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,False,False
00-0024243,2023,15,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,16,CHI,TE,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.1,False,False
00-0024243,2023,17,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0024243,2023,18,CHI,TE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0026158,2023,12,CLE,QB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
00-0026158,2023,13,CLE,QB,0,0.0,0.0,0.0,0.0,0.0,254.0,2.0,1.0,16.16,False,False
