player_id,season,week,team,position,actual_ppr,negative_yards,off_position_stat,predicted_ppr_baseline,baseline_abs_error,predicted_ppr_candidate,candidate_abs_error,delta_abs_error
00-0022942,2025,15,IND,QB,6.8,False,False,0.0,6.8,0.0,6.8,0.0
00-0022942,2025,16,IND,QB,17.08,False,False,9.01,8.069999999999999,16.0,1.0799999999999983,-6.99
00-0022942,2025,17,IND,QB,7.88,False,False,9.36,1.4799999999999995,13.02,5.14,3.66
00-0022942,2025,18,IND,QB,0.0,False,False,10.36,10.36,16.12,16.12,5.760000000000002
00-0023459,2023,1,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,2,NYJ,QB,0.0,False,False,8.84,8.84,8.84,8.84,0.0
00-0023459,2023,3,NYJ,QB,0.0,False,False,8.07,8.07,8.07,8.07,0.0
00-0023459,2023,4,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,5,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,6,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,8,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,9,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,10,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,11,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,12,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,13,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,14,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,15,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,16,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,17,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2023,18,NYJ,QB,0.0,False,False,0.0,0.0,0.0,0.0,0.0
00-0023459,2024,1,NYJ,QB,8.58,True,False,0.0,8.58,0.0,8.58,0.0
00-0023459,2024,2,NYJ,QB,15.14,False,False,0.0,15.14,-0.01,15.15,0.009999999999999787
00-0023459,2024,3,NYJ,QB,21.04,False,False,0.0,21.04,-0.0,21.04,0.0
00-0023459,2024,4,NYJ,QB,11.6,False,False,15.21,3.610000000000001,12.32,0.7200000000000006,-2.8900000000000006
