player_id,season,week,team,position,player,data_source
00-0024315,2006,1,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0020507,2006,2,NE,RB,Heath Evans,unresolved_historical_stats_coverage
00-0024315,2006,2,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,3,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,4,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,5,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,6,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0022970,2006,7,JAX,RB,Derrick Wimbush,unresolved_historical_stats_coverage
00-0024315,2006,8,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,9,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,10,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,11,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,12,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0020024,2006,13,ARI,TE,Fred Wakefield,unresolved_historical_stats_coverage
00-0022970,2006,13,JAX,RB,Derrick Wimbush,unresolved_historical_stats_coverage
00-0022970,2006,14,JAX,RB,Derrick Wimbush,unresolved_historical_stats_coverage
00-0024315,2006,14,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2006,15,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0020024,2006,16,ARI,TE,Fred Wakefield,unresolved_historical_stats_coverage
00-0022970,2006,17,JAX,RB,Derrick Wimbush,unresolved_historical_stats_coverage
00-0024315,2006,17,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2007,2,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2007,3,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0022529,2007,4,IND,RB,Luke Lawton,unresolved_historical_stats_coverage
00-0024315,2007,4,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0022529,2007,5,IND,RB,Luke Lawton,unresolved_historical_stats_coverage
00-0024315,2007,5,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2007,7,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2007,8,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2007,9,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024364,2007,11,NYJ,TE,Jason Pociask,unresolved_historical_stats_coverage
00-0025631,2007,11,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2007,12,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025337,2007,12,KC,RB,Gilbert Harris,unresolved_historical_stats_coverage
00-0025631,2007,12,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0022529,2007,13,IND,RB,Luke Lawton,unresolved_historical_stats_coverage
00-0025337,2007,13,KC,RB,Gilbert Harris,unresolved_historical_stats_coverage
00-0024315,2007,14,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025337,2007,14,KC,RB,Gilbert Harris,unresolved_historical_stats_coverage
00-0025631,2007,14,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2007,15,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025337,2007,15,KC,RB,Gilbert Harris,unresolved_historical_stats_coverage
00-0025631,2007,15,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0025631,2007,16,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0021279,2007,17,PIT,RB,Verron Haynes,unresolved_historical_stats_coverage
00-0022529,2007,17,IND,RB,Luke Lawton,unresolved_historical_stats_coverage
00-0025631,2007,17,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0025631,2008,4,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2008,6,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2008,7,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2008,8,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2008,8,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0025631,2008,9,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2008,10,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2008,11,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2008,11,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2008,12,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2008,12,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0025631,2008,13,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2008,14,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2008,14,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2008,15,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2008,16,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2008,16,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2008,17,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024714,2008,17,BAL,TE,Edgar Jones,unresolved_historical_stats_coverage
00-0025631,2009,1,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0024315,2009,2,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2009,2,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0027093,2009,2,CAR,RB,Tony Fiammetta,unresolved_historical_stats_coverage
00-0027122,2009,2,KC,WR,Quinten Lawrence,unresolved_historical_stats_coverage
00-0024315,2009,3,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2009,3,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0027093,2009,3,CAR,RB,Tony Fiammetta,unresolved_historical_stats_coverage
00-0024315,2009,4,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2009,5,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2009,5,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0027109,2009,5,HOU,TE,James Casey,unresolved_historical_stats_coverage
00-0025631,2009,6,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0021279,2009,7,ATL,RB,Verron Haynes,unresolved_historical_stats_coverage
00-0024315,2009,7,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2009,7,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0021279,2009,8,ATL,RB,Verron Haynes,unresolved_historical_stats_coverage
00-0027109,2009,8,HOU,TE,James Casey,unresolved_historical_stats_coverage
00-0024315,2009,9,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024315,2009,10,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0025631,2009,10,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0027093,2009,10,CAR,RB,Tony Fiammetta,unresolved_historical_stats_coverage
00-0025631,2009,11,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0026344,2009,11,MIA,RB,Lex Hilliard,unresolved_historical_stats_coverage
00-0027109,2009,11,HOU,TE,James Casey,unresolved_historical_stats_coverage
00-0025631,2009,12,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0026344,2009,12,MIA,RB,Lex Hilliard,unresolved_historical_stats_coverage
00-0027109,2009,12,HOU,TE,James Casey,unresolved_historical_stats_coverage
00-0025631,2009,13,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0026344,2009,13,MIA,RB,Lex Hilliard,unresolved_historical_stats_coverage
00-0027122,2009,13,KC,WR,Quinten Lawrence,unresolved_historical_stats_coverage
00-0024714,2009,14,BAL,TE,Edgar Jones,unresolved_historical_stats_coverage
00-0025631,2009,14,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0026344,2009,14,MIA,RB,Lex Hilliard,unresolved_historical_stats_coverage
00-0024315,2009,15,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024825,2009,15,DET,TE,Jake Nordin,unresolved_historical_stats_coverage
00-0025631,2009,15,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0026344,2009,15,MIA,RB,Lex Hilliard,unresolved_historical_stats_coverage
00-0024315,2009,16,SF,RB,Michael Robinson,unresolved_historical_stats_coverage
00-0024825,2009,16,DET,TE,Jake Nordin,unresolved_historical_stats_coverage
00-0025631,2009,16,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0026344,2009,16,MIA,RB,Lex Hilliard,unresolved_historical_stats_coverage
00-0026393,2009,16,LV,WR,Marcel Reece,unresolved_historical_stats_coverage
00-0025631,2009,17,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0026344,2009,17,MIA,RB,Lex Hilliard,unresolved_historical_stats_coverage
00-0026393,2009,17,LV,WR,Marcel Reece,unresolved_historical_stats_coverage
00-0027122,2009,17,KC,WR,Quinten Lawrence,unresolved_historical_stats_coverage
00-0025631,2010,1,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0025631,2010,2,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0025631,2010,3,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
00-0025631,2010,4,ATL,RB,Jason Snelling,unresolved_historical_stats_coverage
