team,season,week,opponent,home_away,points_scored,points_allowed
DAL,2021,1,TB,away,29,31
TB,2021,1,DAL,home,31,29
PHI,2021,1,ATL,away,32,6
ATL,2021,1,PHI,home,6,32
PIT,2021,1,BUF,away,23,16
BUF,2021,1,PIT,home,16,23
NYJ,2021,1,CAR,away,14,19
CAR,2021,1,NYJ,home,19,14
MIN,2021,1,CIN,away,24,27
CIN,2021,1,MIN,home,27,24
SEA,2021,1,IND,away,28,16
IND,2021,1,SEA,home,16,28
SF,2021,1,DET,away,41,33
DET,2021,1,SF,home,33,41
JAX,2021,1,HOU,away,21,37
HOU,2021,1,JAX,home,37,21
ARI,2021,1,TEN,away,38,13
TEN,2021,1,ARI,home,13,38
LAC,2021,1,WAS,away,20,16
WAS,2021,1,LAC,home,16,20
CLE,2021,1,KC,away,29,33
KC,2021,1,CLE,home,33,29
GB,2021,1,NO,away,3,38
NO,2021,1,GB,home,38,3
MIA,2021,1,NE,away,17,16
NE,2021,1,MIA,home,16,17
DEN,2021,1,NYG,away,27,13
NYG,2021,1,DEN,home,13,27
CHI,2021,1,LAR,away,14,34
LAR,2021,1,CHI,home,34,14
BAL,2021,1,LV,away,27,33
LV,2021,1,BAL,home,33,27
NYG,2021,2,WAS,away,29,30
WAS,2021,2,NYG,home,30,29
NO,2021,2,CAR,away,7,26
CAR,2021,2,NO,home,26,7
CIN,2021,2,CHI,away,17,20
CHI,2021,2,CIN,home,20,17
HOU,2021,2,CLE,away,21,31
CLE,2021,2,HOU,home,31,21
LAR,2021,2,IND,away,27,24
IND,2021,2,LAR,home,24,27
DEN,2021,2,JAX,away,23,13
JAX,2021,2,DEN,home,13,23
BUF,2021,2,MIA,away,35,0
MIA,2021,2,BUF,home,0,35
NE,2021,2,NYJ,away,25,6
NYJ,2021,2,NE,home,6,25
SF,2021,2,PHI,away,17,11
PHI,2021,2,SF,home,11,17
LV,2021,2,PIT,away,26,17
PIT,2021,2,LV,home,17,26
MIN,2021,2,ARI,away,33,34
ARI,2021,2,MIN,home,34,33
ATL,2021,2,TB,away,25,48
TB,2021,2,ATL,home,48,25
DAL,2021,2,LAC,away,20,17
LAC,2021,2,DAL,home,17,20
TEN,2021,2,SEA,away,33,30
SEA,2021,2,TEN,home,30,33
KC,2021,2,BAL,away,35,36
BAL,2021,2,KC,home,36,35
DET,2021,2,GB,away,17,35
GB,2021,2,DET,home,35,17
CAR,2021,3,HOU,away,24,9
HOU,2021,3,CAR,home,9,24
WAS,2021,3,BUF,away,21,43
BUF,2021,3,WAS,home,43,21
CHI,2021,3,CLE,away,6,26
CLE,2021,3,CHI,home,26,6
BAL,2021,3,DET,away,19,17
DET,2021,3,BAL,home,17,19
ARI,2021,3,JAX,away,31,19
JAX,2021,3,ARI,home,19,31
LAC,2021,3,KC,away,30,24
KC,2021,3,LAC,home,24,30
NO,2021,3,NE,away,28,13
NE,2021,3,NO,home,13,28
ATL,2021,3,NYG,away,17,14
NYG,2021,3,ATL,home,14,17
IND,2021,3,TEN,away,16,25
TEN,2021,3,IND,home,25,16
CIN,2021,3,PIT,away,24,10
PIT,2021,3,CIN,home,10,24
NYJ,2021,3,DEN,away,0,26
DEN,2021,3,NYJ,home,26,0
MIA,2021,3,LV,away,28,31
LV,2021,3,MIA,home,31,28
SEA,2021,3,MIN,away,17,30
MIN,2021,3,SEA,home,30,17
TB,2021,3,LAR,away,24,34
LAR,2021,3,TB,home,34,24
GB,2021,3,SF,away,30,28
SF,2021,3,GB,home,28,30
PHI,2021,3,DAL,away,21,41
DAL,2021,3,PHI,home,41,21
JAX,2021,4,CIN,away,21,24
CIN,2021,4,JAX,home,24,21
WAS,2021,4,ATL,away,34,30
ATL,2021,4,WAS,home,30,34
HOU,2021,4,BUF,away,0,40
BUF,2021,4,HOU,home,40,0
DET,2021,4,CHI,away,14,24
CHI,2021,4,DET,home,24,14
CAR,2021,4,DAL,away,28,36
DAL,2021,4,CAR,home,36,28
IND,2021,4,MIA,away,27,17
MIA,2021,4,IND,home,17,27
CLE,2021,4,MIN,away,14,7
MIN,2021,4,CLE,home,7,14
NYG,2021,4,NO,away,27,21
NO,2021,4,NYG,home,21,27
TEN,2021,4,NYJ,away,24,27
NYJ,2021,4,TEN,home,27,24
KC,2021,4,PHI,away,42,30
PHI,2021,4,KC,home,30,42
ARI,2021,4,LAR,away,37,20
LAR,2021,4,ARI,home,20,37
SEA,2021,4,SF,away,28,21
SF,2021,4,SEA,home,21,28
BAL,2021,4,DEN,away,23,7
DEN,2021,4,BAL,home,7,23
PIT,2021,4,GB,away,17,27
GB,2021,4,PIT,home,27,17
TB,2021,4,NE,away,19,17
NE,2021,4,TB,home,17,19
LV,2021,4,LAC,away,14,28
LAC,2021,4,LV,home,28,14
LAR,2021,5,SEA,away,26,17
SEA,2021,5,LAR,home,17,26
NYJ,2021,5,ATL,away,20,27
ATL,2021,5,NYJ,home,27,20
PHI,2021,5,CAR,away,21,18
CAR,2021,5,PHI,home,18,21
GB,2021,5,CIN,away,25,22
CIN,2021,5,GB,home,22,25
NE,2021,5,HOU,away,25,22
HOU,2021,5,NE,home,22,25
TEN,2021,5,JAX,away,37,19
JAX,2021,5,TEN,home,19,37
DET,2021,5,MIN,away,17,19
MIN,2021,5,DET,home,19,17
DEN,2021,5,PIT,away,19,27
PIT,2021,5,DEN,home,27,19
MIA,2021,5,TB,away,17,45
TB,2021,5,MIA,home,45,17
NO,2021,5,WAS,away,33,22
WAS,2021,5,NO,home,22,33
CHI,2021,5,LV,away,20,9
LV,2021,5,CHI,home,9,20
CLE,2021,5,LAC,away,42,47
LAC,2021,5,CLE,home,47,42
SF,2021,5,ARI,away,10,17
ARI,2021,5,SF,home,17,10
NYG,2021,5,DAL,away,20,44
DAL,2021,5,NYG,home,44,20
BUF,2021,5,KC,away,38,20
KC,2021,5,BUF,home,20,38
IND,2021,5,BAL,away,25,31
BAL,2021,5,IND,home,31,25
TB,2021,6,PHI,away,28,22
PHI,2021,6,TB,home,22,28
MIA,2021,6,JAX,away,20,23
JAX,2021,6,MIA,home,23,20
MIN,2021,6,CAR,away,34,28
CAR,2021,6,MIN,home,28,34
GB,2021,6,CHI,away,24,14
CHI,2021,6,GB,home,14,24
HOU,2021,6,IND,away,3,31
IND,2021,6,HOU,home,31,3
CIN,2021,6,DET,away,34,11
DET,2021,6,CIN,home,11,34
LAR,2021,6,NYG,away,38,11
NYG,2021,6,LAR,home,11,38
LAC,2021,6,BAL,away,6,34
BAL,2021,6,LAC,home,34,6
KC,2021,6,WAS,away,31,13
WAS,2021,6,KC,home,13,31
ARI,2021,6,CLE,away,37,14
CLE,2021,6,ARI,home,14,37
LV,2021,6,DEN,away,34,24
DEN,2021,6,LV,home,24,34
DAL,2021,6,NE,away,35,29
NE,2021,6,DAL,home,29,35
SEA,2021,6,PIT,away,20,23
PIT,2021,6,SEA,home,23,20
BUF,2021,6,TEN,away,31,34
TEN,2021,6,BUF,home,34,31
DEN,2021,7,CLE,away,14,17
CLE,2021,7,DEN,home,17,14
WAS,2021,7,GB,away,10,24
GB,2021,7,WAS,home,24,10
ATL,2021,7,MIA,away,30,28
MIA,2021,7,ATL,home,28,30
NYJ,2021,7,NE,away,13,54
NE,2021,7,NYJ,home,54,13
CAR,2021,7,NYG,away,3,25
NYG,2021,7,CAR,home,25,3
KC,2021,7,TEN,away,3,27
TEN,2021,7,KC,home,27,3
CIN,2021,7,BAL,away,41,17
BAL,2021,7,CIN,home,17,41
PHI,2021,7,LV,away,22,33
LV,2021,7,PHI,home,33,22
DET,2021,7,LAR,away,19,28
LAR,2021,7,DET,home,28,19
HOU,2021,7,ARI,away,5,31
ARI,2021,7,HOU,home,31,5
CHI,2021,7,TB,away,3,38
TB,2021,7,CHI,home,38,3
IND,2021,7,SF,away,30,18
SF,2021,7,IND,home,18,30
NO,2021,7,SEA,away,13,10
SEA,2021,7,NO,home,10,13
GB,2021,8,ARI,away,24,21
ARI,2021,8,GB,home,21,24
CAR,2021,8,ATL,away,19,13
ATL,2021,8,CAR,home,13,19
MIA,2021,8,BUF,away,11,26
BUF,2021,8,MIA,home,26,11
SF,2021,8,CHI,away,33,22
CHI,2021,8,SF,home,22,33
PIT,2021,8,CLE,away,15,10
CLE,2021,8,PIT,home,10,15
TEN,2021,8,IND,away,34,31
IND,2021,8,TEN,home,31,34
