player_id,week,receiving_yards,receptions,targets,receiving_tds,player_name,team,position,season,fantasy_points
00-0030061,1,26.0,3.0,5.0,1,Zach Ertz,WAS,TE,2025,11.600000381469727
00-0030061,2,64.0,6.0,8.0,1,Zach Ertz,WAS,TE,2025,18.399999618530273
00-0030061,3,38.0,3.0,3.0,0,Zach Ertz,WAS,TE,2025,6.800000190734863
00-0030061,4,21.0,2.0,5.0,0,Zach Ertz,WAS,TE,2025,4.100000381469727
00-0030061,5,0.0,0.0,1.0,0,Zach Ertz,WAS,TE,2025,0.0
00-0030061,6,43.0,6.0,6.0,1,Zach Ertz,WAS,TE,2025,16.300000190734863
00-0030061,7,37.0,3.0,7.0,1,Zach Ertz,WAS,TE,2025,12.699999809265137
00-0030061,8,16.0,4.0,6.0,0,Zach Ertz,WAS,TE,2025,5.599999904632568
00-0030061,9,46.0,4.0,4.0,0,Zach Ertz,WAS,TE,2025,8.600000381469727
00-0030061,10,54.0,4.0,5.0,0,Zach Ertz,WAS,TE,2025,9.399999618530273
00-0030061,11,42.0,4.0,8.0,0,Zach Ertz,WAS,TE,2025,8.200000762939453
00-0030061,13,106.0,10.0,13.0,0,Zach Ertz,WAS,TE,2025,20.600000381469727
00-0030061,14,11.0,1.0,2.0,0,Zach Ertz,WAS,TE,2025,2.0999999046325684
00-0030506,1,47.0,2.0,4.0,1,Travis Kelce,KC,TE,2025,12.700000286102295
00-0030506,2,61.0,4.0,6.0,0,Travis Kelce,KC,TE,2025,10.100000381469727
00-0030506,3,26.0,4.0,7.0,0,Travis Kelce,KC,TE,2025,6.600000381469727
00-0030506,4,48.0,5.0,5.0,0,Travis Kelce,KC,TE,2025,9.800000190734863
00-0030506,5,61.0,7.0,8.0,1,Travis Kelce,KC,TE,2025,19.100000381469727
00-0030506,6,78.0,6.0,7.0,0,Travis Kelce,KC,TE,2025,13.800000190734863
00-0030506,7,54.0,3.0,3.0,0,Travis Kelce,KC,TE,2025,8.399999618530273
00-0030506,8,99.0,6.0,8.0,1,Travis Kelce,KC,TE,2025,21.90000057220459
00-0030506,9,66.0,4.0,6.0,0,Travis Kelce,KC,TE,2025,10.600000381469727
00-0030506,11,91.0,9.0,13.0,1,Travis Kelce,KC,TE,2025,24.100000381469727
00-0030506,12,43.0,4.0,6.0,0,Travis Kelce,KC,TE,2025,8.300000190734863
00-0030506,13,45.0,5.0,6.0,1,Travis Kelce,KC,TE,2025,15.5
00-0030506,14,8.0,1.0,5.0,0,Travis Kelce,KC,TE,2025,1.7999999523162842
00-0030506,15,70.0,7.0,9.0,0,Travis Kelce,KC,TE,2025,14.0
